atomic_promise_id,source_promise_id,category,clean_promise
A30,P30,Agriculture and farming,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.
A31,P31,Agriculture and farming,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.
A32,P32,Agriculture and farming,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers."
A33,P33,Agriculture and farming,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation
A34,P34,Agriculture and farming,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.
A35,P35,Agriculture and farming,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.
A36,P36,Agriculture and farming,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.
A37,P37,Agriculture and farming,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest
A38,P38,Agriculture and farming,To provide possession certificates to the famers of Malnad.
A39,P39,Agriculture and farming,To establish an Agriculture Price Commission in each revenue division.
A40,P40,Horticulture,Toassist the grape growers by providing subsidies - allotment of Rs.500 Crore.
A41,P41,Horticulture,"To provide special package for development of floriculture in Bengaluru, Ramanagara and Chikkaballapura by investing Rs.500 crores."
A42,P42,Horticulture,To create a brand for Coffee in Karnataka.
A43,P43,Sericulture,"To create ""Sericulture Stability Revolving Fund"" with Rs.2000 Crores as initial deposit."
A44,P44,Sericulture,To provide Rs 3 lakh interest-free loans to all silk yarn reelers
A45,P45,Dairy Development and Animal Husbandry:,To implement Ksheera Kranthi - Mission 1.5 Crore litres of milk production per day.
A46,P46,Dairy Development and Animal Husbandry:,Pashu Bhagya - To give loans upto Rs.3 lakhs at zero interest to dairy farmers to purchase superior Cow/Buffalo breed.
A47,P47,Dairy Development and Animal Husbandry:,"To establish Kurigahi Samvardhana Nidhi - Rs 1,000 Crore fund for sheep rearing."
A48,P48,Dairy Development and Animal Husbandry:,Ksheeradhare — To increase the per litre milk subsidy for all dairy farmers from Rs.5 to Rs.7/-.
A49,P49,Dairy Development and Animal Husbandry:,Ksheera Kranti Credit Cards — To provide all dairy farmers with Ksheera
A50,P50,Dairy Development and Animal Husbandry:,"Kranthi Credit Cards with a credit limit of Rs.50,000."
A51,P51,Dairy Development and Animal Husbandry:,Runamuktha Kurigahi Yojane: To waive the Loan upto Rs | lakh of all sheep and goat rearing farmers.
A52,P52,Dairy Development and Animal Husbandry:,To purchase cow-dung @Rs.3/- per KG and establish compost/manure centers in villages involving rural women/Youth.
A53,P53,Dairy Development and Animal Husbandry:,To provide interest-free loans to women to buy 2 cows or buffalos.
A54,P54,Fisheries - Blue Economy,"Matsyakranthi - to make projects to rise in five years Rs 12,000 Crore Blue"
A55,P55,Fisheries - Blue Economy,"""Matysa Sarvodaya Nidhi"" - To establish a Rs 5000 Crore fund to improve the fishing sector as a whole."
A56,P56,Fisheries - Blue Economy,To provide interest-free loans of up to Rs 3 lakhs to fisherwomen.
A57,P57,Fisheries - Blue Economy,Matsya Bhagya — To provide 500 litres of tax-free diesel every year for deep sea fishing.
A58,P58,Fisheries - Blue Economy,"To provide financial assistance of Rs 10,000 to all the Nadadoni fishermen"
A59,P59,Fisheries - Blue Economy,Matsya Mahithi Kendra - To establish a state-of-the-art satellite mapping centre at UDUPI.
A60,P60,Fisheries - Blue Economy,To arrange dredging at the points of anchorages in the jetties/ports or places where the fishing boats are being anchored.
A61,P61,Fisheries - Blue Economy,"""Matsya Ashraya Yojane"" - Ensure Housing to all economically disadvantaged fishermen."
A62,P62,Fisheries - Blue Economy,"Mathsya Asha Kirana Yojane-—To provide Rs 6,000 to all the marine fishermen as alean period allowance during the fishing holiday."
A63,P63,IRRIGATION - JEEVAJALA,To Spend Rs. 1.5 lakh crores for irrigation in the next 5 years (2023 to 2028).
A64,P64,IRRIGATION - JEEVAJALA,To pursue— and complete them within five years and provide budgetary support
A65,P65,IRRIGATION - JEEVAJALA,". New Projects : Project Cost - Mekedatu -Rs. 9,000 Cr, Mahadayi -Rs. 3,000 Cr"
A66,P66,IRRIGATION - JEEVAJALA,". Existing projects : Upper Bhadra, Upper Krishna , Yethinahole and Varahi"
A67,P67,IRRIGATION - JEEVAJALA,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts."
A68,P68,IRRIGATION - JEEVAJALA,Action willbe taken to obtain necessary clearances from the Union Government
A69,P69,IRRIGATION - JEEVAJALA,100% of the Mahadayi water allocated to Karnataka will be utilised
A70,P70,IRRIGATION - JEEVAJALA,Rs 500 crore will be allocated in the first cabinet meeting
A71,P71,IRRIGATION - JEEVAJALA,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr
A72,P72,IRRIGATION - JEEVAJALA,"Priority will be given to drinking water, agriculture, and then to electricity generation"
A73,P73,IRRIGATION - JEEVAJALA,Congress will ensure responsible and secure rehabilitation of project affected families
A74,P74,IRRIGATION - JEEVAJALA,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation
A75,P75,IRRIGATION - JEEVAJALA,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years."
A76,P76,Industry and Commerce,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.
A77,P77,Industry and Commerce,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.
A78,P78,Industry and Commerce,To provide start-up fund of Rs. 10 crores to each constituency.
A79,P79,Industry and Commerce,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT."
A80,P80,Industry and Commerce,To reopen Brahmavar Vani Vilas Co-operative sugar factory.
A81,P81,Industry and Commerce,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.
A82,P82,Industry and Commerce,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr
A83,P83,Industry and Commerce,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports."
A84,P84,Industry and Commerce,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @
A85,P85,MSMEs:,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy"
A86,P86,MSMEs:,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.
A87,P87,Tourism,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state."
A88,P88,Tourism,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.
A89,P89,Tourism,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions.
A90,P90,Hotel and Hospitality Industry,To give Industry Status to Hotels with more than 20 employees.
A91,P91,Hotel and Hospitality Industry,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest
A92,P92,Power and Energy,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI"""
A93,P93,Power and Energy,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.
A94,P94,Power and Energy,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy
A95,P95,Power and Energy,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power"
A96,P96,Transportation,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses
A97,P97,Transportation,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.
A98,P98,Transportation,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.
A99,P99,Transportation,To increase the fleet strength of BMTC — to 10000 in five years.
A100,P100,Transportation,To increase the KSRTC fleet — to 15000 Busses in five years
A101,P101,Transportation,To launch arural minibus program in collaboration with public participation
A102,P102,"Mining, Forest & Environment Protection",To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.
A103,P103,"Food, Civil Supplies and Consumer issues:",ANNABHAGYA 10 kgs of free rice supply per person
A104,P104,"Food, Civil Supplies and Consumer issues:",Torejuvenate existing Indira Canteens and extend them throughout the state.
A105,P105,EDUCATION,To fill up all the vacancies of teachers and staff in Government and aided Schools/Colleges within one year
A106,P106,EDUCATION,Toregulate the fees in the schools and to reduce the fees of BPL Students.
A107,P107,EDUCATION,"The BJP government has distorted the text books by insulting the great souls of Karnataka like Vishwa Guru Basavanna, Rastrakavi Kuvempu. The congress will restore the true values of Bharath and Karnataka and Scientific Temper in the text books to make the students evolved and complete."
A108,P108,EDUCATION,To establish Karnataka State Educational Financial Corporation with a seed money of Rs.2000 Crores for the purpose of bringing all State Scholarships in respect of all the categories under one umbrella for speedy and quick disbursement.
A109,P109,EDUCATION,To increase the income limit from Rs.3.5 lakhs to Rs.5 Lakhs under RTE Act for eligibility for admission to schools.
A110,P110,EDUCATION,To upgrade 2500 Government Schools as smart schools in the state.
A111,P111,EDUCATION,"To bear the college fee of 10% of the government school students on merit who study 6-12th class in Karnataka and secure an MBBS/IIT/IIM/Engineering seat on passing competitive examinations, in any college in India."
A112,P112,Health Services,To fill up vacancies of staffand doctors in all Government Hospitals.
A113,P113,Health Services,"To establish along all the national highways, a fully equipped trauma centre in every 100 KMs."
A114,P114,Health Services,To extend Rashtriya Swasthya Bhima Yojna and bring all the health schemes under one umbrella and extend it to gig workers.
A115,P115,Health Services,"To ensure that everyone gets the medicine at a reasonable price, 10 Kasturba Aushadha Kendras in each Taluk."
A116,P116,Health Services,"To establish one Jayadeva like Heart Hospital, Kidwai like Cancer Hospital and NIMHANS type Psychiatric Hospitals in each revenue Division."
A117,P117,Health Services,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).
A118,P118,Housing,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years."
A119,P119,Housing,To waive offall Housing Loans under various Government Housing Schemes as a onetime measure.
A120,P120,Housing,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor
A121,P121,SC/ST/OBC/ Minority Communities,"To increase the celing and reservation from 50% to 75% to accommodate the hopes and aspirations of SC/ST/OBC/Minority/ and other communities like Lingayat and Vokkliggas. The Congress party committed to increase reservation for SC’s from 15% to 17%, for ST’s 3% to 7%, and restore minority reservation 4% and increase reservations Lingayat’s, Vokkaliggas’s and other communities and to pursue for inclusion in the 9th Schedule of the Constitution."
A122,P122,SC/ST/OBC/ Minority Communities,To release the Socio-Economic caste censes conducted by the congress government and accord social justice accordingly
A123,P123,SC/ST/OBC/ Minority Communities,To present the report of Justice Sadashiva Commission in the first session of the Legislative Assembly and Legislative Council and the Congress Party will strive to get justice to all the sub-groups and urge the Union Government to accept it.
A124,P124,SC/ST/OBC/ Minority Communities,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs
A125,P125,SC/ST/OBC/ Minority Communities,"To provide every year, subsidy and loan with 3% interest to 25,000 youth of SC/ST communities under Airavata Scheme, for purchase of Taxi, Goods, Vehicle, three wheelers, four wheelers and other vehicles for selfemployment."
A126,P126,SC/ST/OBC/ Minority Communities,To take action to fill all the backlog vacancies within one year.
A127,P127,SC/ST/OBC/ Minority Communities,"To set up Rs. 1000 Crore revolving fund - ""Dr Bhimrao Ramji Ambedkar Entrepreneurship Fund"" - for organizing entrepreneurship development and incubation programs for SC entrepreneurs."
A128,P128,SC/ST/OBC/ Minority Communities,"To create a new ""Smt. Savitri Bai Pule Education Scheme to give Monthly incentives of Rs.150/- for students from | st Std. to Sth Standard, Rs.300/- for 6th to 10 std. students to be given. The incentive to be transferred to the Bank account of the mother of the student."
A129,P129,SC/ST/OBC/ Minority Communities,"To open Literature, cultural and Arts academy under Kannada and Culture department for 46 castes of SC and ST, Nomedic and Semi-nomedic and OBC Category-I"
A130,P130,SC/ST/OBC/ Minority Communities,"To identify youths belonging to Pambada, Nalike, Parava and Kudbi of Dakshina Kannada and Udupi districts and to ensure 100% housing and also to train boys and girls for jobs."
A131,P131,SC/ST/OBC/ Minority Communities,To increase the insurance maturity amount given under the Bhagya Lakshmi scheme Rs.3 Lakhs to SC/ST families.
A132,P132,SC/ST/OBC/ Minority Communities,To establish 100 Aranya Kendras in tribal areas to help and guide them in primary processing and value additions for their produce.
A133,P133,SC/ST/OBC/ Minority Communities,To construct 50 new Ekalavya residential schools in the next five years
A134,P134,SC/ST/OBC/ Minority Communities,To send 100 people from the leather based traditional artisans abroad for better training.
A135,P135,SC/ST/OBC/ Minority Communities,"To setup Rs 5000 crore revolving fund ""Socio-economic welfare Fund"" for the overall welfare of OBC communities involved in sculpting, pottery, weaving and other traditional occupations."
A136,P136,SC/ST/OBC/ Minority Communities,"To establish Brahmashri Narayana Guru Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Cr in 5 years"
A137,P137,SC/ST/OBC/ Minority Communities,"To establish Micro Backward Comminutes Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Crin 5 years"
A138,P138,SC/ST/OBC/ Minority Communities,"To constitute Development Corporations for the welfare of Tigala, Madiwala,Savitha, Uppara, Balija and Alemari Budakatu communities and provide dedicated budget"
A139,P139,SC/ST/OBC/ Minority Communities,To increase the grants to all development Corporations and Boards.
A140,P140,SC/ST/OBC/ Minority Communities,"To provide collateral-free loans up to 10 lakhs at 3% interest to 50,000 OBC entrepreneurs."
A141,P141,SC/ST/OBC/ Minority Communities,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities."
A142,P142,SC/ST/OBC/ Minority Communities,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities."
A143,P143,SC/ST/OBC/ Minority Communities,To establish Tigala Development Board.
A144,P144,SC/ST/OBC/ Minority Communities,"The most backward communities are under Category-I. 12% of the population is under this category. As per the report of the Havanur Commission, 58 of the castes have the character of tribals. Nomadic and semi-nomadic castes are also under this category. The castes under this category have got abysmal share in Education, Employment and Industry. Earlier, these castes were getting the benefits available to the SC/STs. A comprehensive plan for their total
development will be envisaged."
A145,P145,SC/ST/OBC/ Minority Communities,"To give special focus to the development of listed marginal communities and to establish Alemari Budakattu Board for this purpose with Rs. 1,000 crores."
A146,P146,Weavers:,"To provide Rs. 30,000 per annum to weavers with spinning wheels to modernize their looms."
A147,P147,Women and Children - Naari Shakthi,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project
A148,P148,Women and Children - Naari Shakthi,"To support 5,000 women entrepreneurs every year for entrepreneurial development."
A149,P149,Women and Children - Naari Shakthi,To increase allocation of funds to Stree Shakthi Sanghas.
A150,P150,Women and Children - Naari Shakthi,"To nurture 5000 Stree Shakti micro-enterprises over 5 years and to encourage them to take up 21st century needs like food processing, catering, mobile canteens, solid waste management, parking management."
A151,P151,Women and Children - Naari Shakthi,"To provide Rs.50 lakhs grant to the Grama Panchayaths which elect women as the Chairperson, over looking specific reservations"
A152,P152,Women and Children - Naari Shakthi,"To provide 50% subsidy on buying electric scooters to frontline health workers namely ANM, Anganwadi and ASHA workers."
A153,P153,Religious Minorities,"The Congress Party is committed to the welfare of all citizens and groups, including minorities, as per the Constitution of India. Accordingly, the allocation of funds for the minority welfare — Muslim, Christian, Jain, Buddhists and others, would be increased to Rs. 10,000 Cr"
A154,P154,Kashmiri Pandits:,To allot Rs.15 crores to start Kashmiri Culture Centre Allotting one time grant of Rs.25 crore and annual grant of Rs. One crore from the Department of Kannada Culture
A155,P155,GENDER MINORITIES,Toestablish a Mangalamukhi Welfare Board by allotting Rs.200 crores annually.
A156,P156,GENDER MINORITIES,To provide Self-employment grants for taking up small business to all Gender Minorities upto Rs.2 lakhs.
A157,P157,Pourakarmikas,"To regularise all 25,000 Pourakarmikas with all the relevant facilities."
A158,P158,Pourakarmikas,Recruitment of additional Pourakarmikas.
A159,P159,Pourakarmikas,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each
A160,P160,Drivers:,To set up Auto Drivers' Board and Taxi Drivers' Welfare Board funding with Rs. 50 Crs to each and encouragement for self-employment.
A161,P161,Street Vendors,"To develop dedicated hawker zones in all district HQs and to provide one-time financial assistance of Rs. 20,000 to street vendors to set up their shops in these zones."
A162,P162,Gig and Un-organised Workers,"To establish a Gig Workers' Welfare Board with allotment of Rs.3,000 Crs as seed money for revolving fund."
A163,P163,Senior Citizens:,"Tocreate Sharavana Kumara Senior citizens welfare fund - Rs.1,000 Crore."
A164,P164,Senior Citizens:,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.
A165,P165,Senior Citizens:,"To increase the one-time subsidy provided to senior citizens from Karnataka for pilgrimages to Kashi, Mathura and Kailash Mansarovar Yatra."
A166,P166,Persons otherwise able,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.
A167,P167,Persons otherwise able,"To create a Rs 50 Crore ""Vidhya Deepa Nidhi"" disabled youth scholarship fund to ensure access to higher education both in India and abroad."
A168,P168,Persons otherwise able,To provide free bus pass and to one accompanying person.
A169,P169,Persons otherwise able,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka."
A170,P170,Veteran Army personnel,"To establish ""Field Marshal General Kariappa Ex-servicemen Development Board with Rs.500 Crores revolving fund to provide financial assistance to ex- servicemen to upto Rs.10 lakhs @ 5% interest to start self- employment/entrepreneurship."
A171,P171,Veteran Army personnel,Topush forONE RANK ONE PENSION for Ex-Servicemen
A172,P172,Veteran Army personnel,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences."
A173,P173,Journalists,Establishment ofa a Journalist Welfare Fund with seed money of Rs.500 Crores.
A174,P174,Advocates,"To assist establishing Advocate Bhavans in Corporation, cities and District Headquarters."
A175,P175,NRI Kannadigas,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.
A176,P176,NRI Kannadigas,To help in setting up industries and those permanently relocating by creating revolving fund of Rs.1000 Crs.
A177,P177,"Youth, Employment and Sports",To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI
A178,P178,"Youth, Employment and Sports",To establish Bharatha Ratna CNR Fund with 500 crores corpus for basic scientific research for youth.
A179,P179,"Youth, Employment and Sports",To provide free bus passes and train tickets to the candidates taking up competitive examinations.
A180,P180,"Youth, Employment and Sports",To ensure 80% in jobs in Karnataka to local people in both Public and Private
A181,P181,"Youth, Employment and Sports",To Constitute a Youth Commission to facilitate the overall development of youth
A182,P182,"Youth, Employment and Sports",To allot Rs.2000 crores per year for sports.
A183,P183,"Youth, Employment and Sports","To start an exclusive Sports University in Mysuru and make Karnataka a World-Class sports hub. And, to build an International Sports Complex in Mysuru exclusively for traditional sports."
A184,P184,"Youth, Employment and Sports","To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance."
A185,P185,"Language, Literature, Tradition and Culture","To develop Kuppalli, the birth place of Rastra Kavi Kuvempu a nature tourist center make special project of Rs. 100 Crs."
A186,P186,"Language, Literature, Tradition and Culture","To encourage and develop Kannada Language, literature, education and culture in 63 Taluks in Border areas and in 6 adjoining states where there are large number of Kannadigas, annual allotment of Rs.200 crores."
A187,P187,"Language, Literature, Tradition and Culture","To start ""Kuvempu Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each."
A188,P188,"Language, Literature, Tradition and Culture",To set up the Aluru Venkata Rao Fund of Rs 100 Crore to promote Kannada in the digital space.
A189,P189,"Language, Literature, Tradition and Culture",To release Rs.100 crores to establish- Basavapatha - the institution for Social Inclusion and Religious Ethics - in Kudalasangama.
A190,P190,"Language, Literature, Tradition and Culture",To build a state-of-the-art museum and theme park dedicated to Veera Madakari Nayaka in Chitradurga.
A191,P191,"Language, Literature, Tradition and Culture","To create a Rs 500 Crore ""Thayi Bhuvaneshwari Monuments Fund"" to ensure the proper maintenance of all ASI sites in Karnataka."
A192,P192,"Language, Literature, Tradition and Culture","To revive and develop Bhuvanagiri in Siddapur taluk as a tourist destination with aRs 10 Crore grant, as it is the only place in the state where a temple is dedicated to Kannada Mathe Bhuvaneshwari Devi."
A193,P193,"Language, Literature, Tradition and Culture",To bring out all Mahakavyas of Kannada Literture in digital form in the Gamaka format.
A194,P194,"Language, Literature, Tradition and Culture",To make special projects to study of Samskrith Literature - Adi Shankaracharya Adhyayana Yojane
A195,P195,"Language, Literature, Tradition and Culture","To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu."
A196,P196,"Language, Literature, Tradition and Culture",To establish Yakshagana Pradhikara with Rs. 25 Crs annual grants.
A197,P197,"Language, Literature, Tradition and Culture","To evolve a scheme to provide economic security to the artists of Yakshagana, Kambala, drama, music Dhaivaradhana work and other forms of arts."
A198,P198,"Language, Literature, Tradition and Culture",To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.
A199,P199,"Language, Literature, Tradition and Culture",To Set up Festival Authority of Karnataka.
A200,P200,"Language, Literature, Tradition and Culture","To set up the Shivaram Karantha Literature Fund of Rs. 100 Crore to encourage Kannada writing, both poetry and prose, among students of classes 8-12."
A201,P201,"Language, Literature, Tradition and Culture","To give a cash prize of Rs 10,000 to students who score 100% in Kannada in their 10th exam in the name of Rashtra Kavi Manjeshwara Govinda Pai."
A202,P202,"Language, Literature, Tradition and Culture","To publish a book on Karnataka's history and it's culture called ""Hemmeya Beedu Namma Karunadu"" and make it a non-test subject in all UG courses."
A203,P203,"Language, Literature, Tradition and Culture","To provide Rupees one lakh annual grant to people pursuing PhDs in Kannada literature and a Rs. 25,000 annual grant to people pursuing PG in Kannada literature under ""Da Ra Bendre Kannada Bhasha Adhyayana Puraskara Nidhi"""
A204,P204,"Language, Literature, Tradition and Culture","To double the amount of money awarded to poets and authors under the Rajyotsava Award, Pampa Award, Kannada Sahitya Academy awards etc. limiting the number of awardees."
A205,P205,"Language, Literature, Tradition and Culture","To start ""Nrupatunga Kannada Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each."
A206,P206,"Language, Literature, Tradition and Culture","To establish in various universities, Kanakadasa Dasa Sahithya Adhyayana Peetha, Sarvagna Tripadi Sahithya Adhyayana Peeta, Basavanna Vachana Sahithya, Adhyayana Peeta, D V Gundappa Navodhaya sahithya Adhyayana Peeta, Pampa Hale Kannada sahithya Adhayayana Peeta, Kumaravyasa Nadukannada Sahithya Adhyayana Peeta, by providing necessary funds."
A207,P207,"Language, Literature, Tradition and Culture",To increase funding to Hampi Kannada University to encourage the holistic research on Kannada literature.
A208,P208,"Language, Literature, Tradition and Culture","To create a dedicated fund of Rs 100 Crore ""Shasana samshodhana mattu samrakshana Nidhi"" - for the restoration, renovation, and promotion of research on inscriptions."
A209,P209,"Language, Literature, Tradition and Culture",To set up Rs 500 Crore revolving fund - Subbiah Naidu Kalabhivruddhi Nidhi - for the revival of ethnic art forms and folk sports.
A210,P210,"Language, Literature, Tradition and Culture","To organize a Mega cultural festival called ""Karnataka Arunodaya Samavesha"" in every assembly constituency to promote local folk arts and music."
A211,P211,"Language, Literature, Tradition and Culture",To set up Rs 30 Crore “C Ashwath Music Fellowship Fund” to honour young lyricists and singers.
