promise_id,category,promise_text,sector,sub_sector,quantifiable,target_value,timeline_mentioned,target_year,commitment_type
P42,Horticulture,To create a brand for Coffee in Karnataka.,Agriculture,Horticulture,No,,No,,Create a brand
P43,Sericulture,"To create ""Sericulture Stability Revolving Fund"" with Rs.2000 Crores as initial deposit.",Agriculture,Sericulture,Yes,Rs.2000 Crores,No,,Create
P44,Sericulture,To provide Rs 3 lakh interest-free loans to all silk yarn reelers,Economy,Sericulture,Yes,Rs 3 lakh,No,,Loan
P45,Dairy Development and Animal Husbandry:,To implement Ksheera Kranthi - Mission 1.5 Crore litres of milk production per day.,Agriculture,Dairy Development and Animal Husbandry,Yes,1.5 Crore litres,No,,Implementation
P46,Dairy Development and Animal Husbandry:,Pashu Bhagya - To give loans upto Rs.3 lakhs at zero interest to dairy farmers to purchase superior Cow/Buffalo breed.,Agriculture,Dairy Development and Animal Husbandry,Yes,Rs.3 lakhs,No,,Loan
P47,Dairy Development and Animal Husbandry:,"To establish Kurigahi Samvardhana Nidhi - Rs 1,000 Crore fund for sheep rearing.",Agriculture,Dairy Development and Animal Husbandry,Yes,"Rs 1,000 Crore",No,,Establishment of a fund
P48,Dairy Development and Animal Husbandry:,Ksheeradhare — To increase the per litre milk subsidy for all dairy farmers from Rs.5 to Rs.7/-.,Agriculture,Dairy Development and Animal Husbandry,Yes,Rs.7/-,No,,Increase
P49,Dairy Development and Animal Husbandry:,Ksheera Kranti Credit Cards — To provide all dairy farmers with Ksheera,Agriculture,Dairy Development and Animal Husbandry,No,,No,,Promise
P50,Dairy Development and Animal Husbandry:,"Kranthi Credit Cards with a credit limit of Rs.50,000.",Agriculture,Dairy Development and Animal Husbandry,Yes,"Rs.50,000",No,,Other (Credit Card)
P51,Dairy Development and Animal Husbandry:,Runamuktha Kurigahi Yojane: To waive the Loan upto Rs | lakh of all sheep and goat rearing farmers.,Agriculture,Dairy Development and Animal Husbandry,Yes,Rs | lakh,No,,Waive Loan
P52,Dairy Development and Animal Husbandry:,To purchase cow-dung @Rs.3/- per KG and establish compost/manure centers in villages involving rural women/Youth.,Agriculture,Dairy Development and Animal Husbandry,Yes,Rs.3/- per KG,No,,Purchase
P53,Dairy Development and Animal Husbandry:,To provide interest-free loans to women to buy 2 cows or buffalos.,Agriculture,Dairy Development and Animal Husbandry,Yes,2 cows or buffalos,No,,Interest-free loans
P54,Fisheries - Blue Economy,"Matsyakranthi - to make projects to rise in five years Rs 12,000 Crore Blue",Economy,Blue Economy,Yes,"Rs 12,000 Crore",Yes,5 years,Increase
P55,Fisheries - Blue Economy,"""Matysa Sarvodaya Nidhi"" - To establish a Rs 5000 Crore fund to improve the fishing sector as a whole.",Economy,Fisheries - Blue Economy,Yes,5000 Crore,No,,Establishment of a fund
P56,Fisheries - Blue Economy,To provide interest-free loans of up to Rs 3 lakhs to fisherwomen.,Economy,Fisheries - Blue Economy,Yes,Rs 3 lakhs,No,,Interest-free loans
P57,Fisheries - Blue Economy,Matsya Bhagya — To provide 500 litres of tax-free diesel every year for deep sea fishing.,Economy,Blue Economy,Yes,500 litres,No,,Promise
P58,Fisheries - Blue Economy,"To provide financial assistance of Rs 10,000 to all the Nadadoni fishermen",Economy,Blue Economy,Yes,10000,No,,Financial Assistance
P59,Fisheries - Blue Economy,Matsya Mahithi Kendra - To establish a state-of-the-art satellite mapping centre at UDUPI.,Infrastructure,Fisheries - Blue Economy,No,,No,,Establishment
P60,Fisheries - Blue Economy,To arrange dredging at the points of anchorages in the jetties/ports or places where the fishing boats are being anchored.,Infrastructure,Fisheries - Blue Economy,No,,No,,Promise
P61,Fisheries - Blue Economy,"""Matsya Ashraya Yojane"" - Ensure Housing to all economically disadvantaged fishermen.",Economy,Blue Economy,Yes,Housing to all economically disadvantaged fishermen,No,,Ensure
P62,Fisheries - Blue Economy,"Mathsya Asha Kirana Yojane-—To provide Rs 6,000 to all the marine fishermen as alean period allowance during the fishing holiday.",Economy,Blue Economy,Yes,6000,No,,Allowance
P63,IRRIGATION - JEEVAJALA,To Spend Rs. 1.5 lakh crores for irrigation in the next 5 years (2023 to 2028).,Infrastructure,IRRIGATION - JEEVAJALA,Yes,1.5 lakh crores,Yes,2028,Spending
P64,IRRIGATION - JEEVAJALA,To pursue— and complete them within five years and provide budgetary support,Agriculture,IRRIGATION - JEEVAJALA,Yes,within five years,Yes,5 years,pursue and complete
P65,IRRIGATION - JEEVAJALA,". New Projects : Project Cost - Mekedatu -Rs. 9,000 Cr, Mahadayi -Rs. 3,000 Cr",Infrastructure,Irrigation,Yes,"Rs. 12,000 Cr",No,,New Projects
P66,IRRIGATION - JEEVAJALA,". Existing projects : Upper Bhadra, Upper Krishna , Yethinahole and Varahi",Infrastructure,Irrigation,Yes,"Upper Bhadra, Upper Krishna, Yethinahole and Varahi",No,,Existing projects
P67,IRRIGATION - JEEVAJALA,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts.",Infrastructure,IRRIGATION - JEEVAJALA,Yes,3.9 TMC,No,,Promise
P68,IRRIGATION - JEEVAJALA,Action willbe taken to obtain necessary clearances from the Union Government,Infrastructure,Irrigation,No,,No,,Action
P69,IRRIGATION - JEEVAJALA,100% of the Mahadayi water allocated to Karnataka will be utilised,Infrastructure,Irrigation,Yes,100%,No,,Utilisation
P70,IRRIGATION - JEEVAJALA,Rs 500 crore will be allocated in the first cabinet meeting,Infrastructure,Irrigation,Yes,500 crore,Yes,,Allocation
P71,IRRIGATION - JEEVAJALA,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,Infrastructure,IRRIGATION - JEEVAJALA,Yes,Rs 3000 Cr,Yes,5 years from now,Project completion
P72,IRRIGATION - JEEVAJALA,"Priority will be given to drinking water, agriculture, and then to electricity generation",Infrastructure,Irrigation,No,,No,,Priority
P73,IRRIGATION - JEEVAJALA,Congress will ensure responsible and secure rehabilitation of project affected families,Infrastructure,Irrigation,No,,No,,Policy
P74,IRRIGATION - JEEVAJALA,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,Infrastructure,IRRIGATION - JEEVAJALA,Yes,200 TMC,Yes,,Adoption of technology
P75,IRRIGATION - JEEVAJALA,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",Infrastructure,IRRIGATION - JEEVAJALA,Yes,1000 crores,Yes,5 years,Financial
P76,Industry and Commerce,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,Infrastructure,Industry and Commerce,No,,No,,Establishment
P77,Industry and Commerce,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,Infrastructure,Industrial Infrastructure,Yes,5000 Crs,Yes,five years,Investment
P78,Industry and Commerce,To provide start-up fund of Rs. 10 crores to each constituency.,Economy,Industry and Commerce,Yes,Rs. 10 crores,No,,Financial
P79,Industry and Commerce,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",Infrastructure,Industry and Commerce,Yes,one lakh,No,,Upgrade
P80,Industry and Commerce,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,Industry and Commerce,Agricultural Processing,No,,No,,Reopening
P81,Industry and Commerce,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,Transport,Industry and Commerce,No,,No,,Policy
P82,Industry and Commerce,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,Industry and Commerce,Apparel,Yes,5000 Cr,No,,Investment
P83,Industry and Commerce,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports.",Industry and Commerce,Export,No,,No,,Task Force creation
P84,Industry and Commerce,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,Economy,Industry and Commerce,Yes,Rs. 25 lakhs and Rs. One crore,No,,Subsidy and Loan
P85,MSMEs:,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy",Economy,MSMEs,Yes,"Rs. 1,000 Crore",No,,Financial
P86,MSMEs:,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.,Economy,MSMEs,Yes,Reduce stamp duty,No,,Policy Change
P87,Tourism,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state.",Infrastructure,Tourism,Yes,5000 crores,No,,Financial
P88,Tourism,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.,Transport,Tourism,Yes,50,No,,Loan and Permit
P89,Tourism,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions. ,Infrastructure,Tourism,Yes,6%,No,,Financial
P90,Hotel and Hospitality Industry,To give Industry Status to Hotels with more than 20 employees.,Infrastructure,Hotel and Hospitality Industry,Yes,20,No,,Policy
P91,Hotel and Hospitality Industry,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest,Other,Hotel and Hospitality Industry,Yes,Rs 10 Lakhs,No,,Loan
P92,Power and Energy,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI""",Energy,Power and Energy,Yes,200,No,,Promise
P93,Power and Energy,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.,Energy,Power and Energy,Yes,25%,No,,Subsidy
P94,Power and Energy,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy,Energy,Power and Energy,Yes,50%,No,,Infrastructure Development
P95,Power and Energy,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power",Energy,Power and Energy,Yes,5000 MW,No,,Encourage
P96,Transportation,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses,Transport,Public Transportation,Yes,Free travel to all women,No,,Service
P97,Transportation,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.,Transport,Public Transportation,Yes,50%,Yes,2 years from now,Increase
P98,Transportation,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.,Transport,Infrastructure,Yes,Installation of E-Vehicle Charging points in all important junctions and Highways,No,,Compulsory
P99,Transportation,To increase the fleet strength of BMTC — to 10000 in five years.,Transport,Public Transportation,Yes,10000,Yes,five years,Increase fleet strength
P100,Transportation,To increase the KSRTC fleet — to 15000 Busses in five years,Transport,Public Transportation,Yes,15000,Yes,five years,Increase
P101,Transportation,To launch arural minibus program in collaboration with public participation,Transport,Public Transportation,No,,No,,Program Launch
P102,"Mining, Forest & Environment Protection",To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.,Economy,"Mining, Forest & Environment Protection",No,,No,,Policy Change
P103,"Food, Civil Supplies and Consumer issues:",ANNABHAGYA 10 kgs of free rice supply per person,Agriculture,Food,Yes,10 kgs,No,,Supply
P104,"Food, Civil Supplies and Consumer issues:",Torejuvenate existing Indira Canteens and extend them throughout the state.,Infrastructure,"Food, Civil Supplies and Consumer issues",No,,No,,Infrastructure Development
P105,EDUCATION ,To fill up all the vacancies of teachers and staff in Government and aided Schools/Colleges within one year,Education,Education Infrastructure,Yes,all vacancies,Yes,within one year,Fill up
P106,EDUCATION ,Toregulate the fees in the schools and to reduce the fees of BPL Students.,Education,School Fees Regulation,No,,No,,Regulation
P107,EDUCATION ,"The BJP government has distorted the text books by insulting the great souls of Karnataka like Vishwa Guru Basavanna, Rastrakavi Kuvempu. The congress will restore the true values of Bharath and Karnataka and Scientific Temper in the text books to make the students evolved and complete.",Education,,No,,No,,Restoration
P108,EDUCATION ,To establish Karnataka State Educational Financial Corporation with a seed money of Rs.2000 Crores for the purpose of bringing all State Scholarships in respect of all the categories under one umbrella for speedy and quick disbursement.,Education,Education Finance,Yes,Rs.2000 Crores,No,,Establishment
P109,EDUCATION ,To increase the income limit from Rs.3.5 lakhs to Rs.5 Lakhs under RTE Act for eligibility for admission to schools.,Education,RTE Act,Yes,Rs.5 Lakhs,No,,Increase
P110,EDUCATION , To upgrade 2500 Government Schools as smart schools in the state.,Education,Education Infrastructure,Yes,2500,No,,Infrastructure Development
P111,EDUCATION ,"To bear the college fee of 10% of the government school students on merit who study 6-12th class in Karnataka and secure an MBBS/IIT/IIM/Engineering seat on passing competitive examinations, in any college in India.",Education,Education - School and Higher Education,Yes,10% of government school students,No,,Financial
P112,Health Services,To fill up vacancies of staffand doctors in all Government Hospitals.,Health,Health Services,No,,No,,Promise
P113,Health Services,"To establish along all the national highways, a fully equipped trauma centre in every 100 KMs.",Infrastructure,Transport,Yes,100 KMs,No,,Establishment
P114,Health Services,To extend Rashtriya Swasthya Bhima Yojna and bring all the health schemes under one umbrella and extend it to gig workers.,Health,Health Services,No,,No,,Extension of existing scheme
P115,Health Services,"To ensure that everyone gets the medicine at a reasonable price, 10 Kasturba Aushadha Kendras in each Taluk.",Health,Health Services,Yes,10 Kasturba Aushadha Kendras in each Taluk,No,,Infrastructure Development
P116,Health Services,"To establish one Jayadeva like Heart Hospital, Kidwai like Cancer Hospital and NIMHANS type Psychiatric Hospitals in each revenue Division.",Health,Health Services,Yes,"1 (Jayadeva like Heart Hospital), 1 (Kidwai like Cancer Hospital), 1 (NIMHANS type Psychiatric Hospital)",No,,Establishment
P117,Health Services,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,Health,Health Services,No,,No,,Subsidy
P118,Housing,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",Infrastructure,Housing,Yes,all homeless families in Karnataka,Yes,5 years from now,Ensure
P119,Housing,To waive offall Housing Loans under various Government Housing Schemes as a onetime measure.,Infrastructure,Housing,Yes,all Housing Loans,No,,Waive off
P120,Housing,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,Infrastructure,Housing,Yes,Rs. 3.5 lakhs,No,,Increase subsidy
P121,SC/ST/OBC/ Minority Communities,"To increase the celing and reservation from 50% to 75% to accommodate the hopes and aspirations of SC/ST/OBC/Minority/ and other communities like Lingayat and Vokkliggas. The Congress party committed to increase reservation for SC’s from 15% to 17%, for ST’s 3% to 7%, and restore minority reservation 4% and increase reservations Lingayat’s, Vokkaliggas’s and other communities and to pursue for inclusion in the 9th Schedule of the Constitution.",Governance,Social Welfare,Yes,Increase reservation from 50% to 75%,No,,Policy Change
P122,SC/ST/OBC/ Minority Communities,To release the Socio-Economic caste censes conducted by the congress government and accord social justice accordingly,Welfare,Social Justice,No,,No,,Policy
P123,SC/ST/OBC/ Minority Communities,To present the report of Justice Sadashiva Commission in the first session of the Legislative Assembly and Legislative Council and the Congress Party will strive to get justice to all the sub-groups and urge the Union Government to accept it.,Governance,Legislative Reforms,No,,No,,Policy/Reform
P124,SC/ST/OBC/ Minority Communities,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,Infrastructure,Housing,Yes,all SC/ST families,Yes,next five years,Government to build houses
P125,SC/ST/OBC/ Minority Communities,"To provide every year, subsidy and loan with 3% interest to 25,000 youth of SC/ST communities under Airavata Scheme, for purchase of Taxi, Goods, Vehicle, three wheelers, four wheelers and other vehicles for selfemployment.",Transport,Self-Employment,Yes,"25,000",Yes,Every year,Subsidy and Loan
P126,SC/ST/OBC/ Minority Communities,To take action to fill all the backlog vacancies within one year.,Welfare,Employment,Yes,all backlog vacancies,Yes,1 year,Action
P127,SC/ST/OBC/ Minority Communities,"To set up Rs. 1000 Crore revolving fund - ""Dr Bhimrao Ramji Ambedkar Entrepreneurship Fund"" - for organizing entrepreneurship development and incubation programs for SC entrepreneurs.",Economy,Entrepreneurship Development,Yes,1000 Crore,No,,Financial
P128,SC/ST/OBC/ Minority Communities,"To create a new ""Smt. Savitri Bai Pule Education Scheme to give Monthly incentives of Rs.150/- for students from | st Std. to Sth Standard, Rs.300/- for 6th to 10 std. students to be given. The incentive to be transferred to the Bank account of the mother of the student.",Education,Scholarships,Yes,Rs.150/- (for 1st to 5th Std.) and Rs.300/- (for 6th to 10th Std.),No,,Financial Incentive
P129,SC/ST/OBC/ Minority Communities,"To open Literature, cultural and Arts academy under Kannada and Culture department for 46 castes of SC and ST, Nomedic and Semi-nomedic and OBC Category-I",Education,"Literature, cultural and Arts academy",No,,No,,Promise
P130,SC/ST/OBC/ Minority Communities,"To identify youths belonging to Pambada, Nalike, Parava and Kudbi of Dakshina Kannada and Udupi districts and to ensure 100% housing and also to train boys and girls for jobs.",Welfare,Housing and Employment,Yes,100%,No,,Social Welfare
P131,SC/ST/OBC/ Minority Communities,To increase the insurance maturity amount given under the Bhagya Lakshmi scheme Rs.3 Lakhs to SC/ST families.,Welfare,Social Welfare,Yes,Rs.3 Lakhs,No,,Increase
P132,SC/ST/OBC/ Minority Communities,To establish 100 Aranya Kendras in tribal areas to help and guide them in primary processing and value additions for their produce.,Agriculture,Primary Processing and Value Addition,Yes,100,No,,Establishment
P133,SC/ST/OBC/ Minority Communities,To construct 50 new Ekalavya residential schools in the next five years,Education,School Infrastructure,Yes,50,Yes,5 years,Infrastructure Development
P134,SC/ST/OBC/ Minority Communities,To send 100 people from the leather based traditional artisans abroad for better training.,Education,Skill Development,Yes,100,No,,Training
P135,SC/ST/OBC/ Minority Communities,"To setup Rs 5000 crore revolving fund ""Socio-economic welfare Fund"" for the overall welfare of OBC communities involved in sculpting, pottery, weaving and other traditional occupations.",Welfare,Socio-economic welfare,Yes,Rs 5000 crore,No,,Setup a fund
P136,SC/ST/OBC/ Minority Communities,"To establish Brahmashri Narayana Guru Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Cr in 5 years",Welfare,SC/ST/OBC/ Minority Communities,Yes,Rs. 500 Cr,Yes,5 years,Establishment
P137,SC/ST/OBC/ Minority Communities,"To establish Micro Backward Comminutes Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Crin 5 years",Economy,Development Corporation,Yes,Rs. 500 Cr,Yes,5 years,Establishment
P138,SC/ST/OBC/ Minority Communities,"To constitute Development Corporations for the welfare of Tigala, Madiwala,Savitha, Uppara, Balija and Alemari Budakatu communities and provide dedicated budget",Welfare,Community Development,No,,No,,Policy
P139,SC/ST/OBC/ Minority Communities,To increase the grants to all development Corporations and Boards.,Welfare,Social Welfare,No,,No,,Increase grants
P140,SC/ST/OBC/ Minority Communities,"To provide collateral-free loans up to 10 lakhs at 3% interest to 50,000 OBC entrepreneurs.",Economy,Entrepreneurship,Yes,50000,No,,Loan
P141,SC/ST/OBC/ Minority Communities,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",Education,Scholarships,Yes,1000,Yes,every year,Scholarships
P142,SC/ST/OBC/ Minority Communities,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",Education,Scholarships,Yes,"Rs 10,000",No,,Increase
P143,SC/ST/OBC/ Minority Communities,To establish Tigala Development Board.,Welfare,Social Welfare,No,,No,,Establishment
P144,SC/ST/OBC/ Minority Communities,"The most backward communities are under Category-I. 12% of the population is under this category. As per the report of the Havanur Commission, 58 of the castes have the character of tribals. Nomadic and semi-nomadic castes are also under this category. The castes under this category have got abysmal share in Education, Employment and Industry. Earlier, these castes were getting the benefits available to the SC/STs. A comprehensive plan for their total
development will be envisaged.",Education,Education for backward communities,No,,No,,Policy/Plan
P145,SC/ST/OBC/ Minority Communities,"To give special focus to the development of listed marginal communities and to establish Alemari Budakattu Board for this purpose with Rs. 1,000 crores.",Welfare,Social Welfare,Yes,"Rs. 1,000 crores",No,,Infrastructure Development
P146,Weavers:,"To provide Rs. 30,000 per annum to weavers with spinning wheels to modernize their looms.",Economy,Weavers,Yes,30000,No,,Financial
