promise_id,promise_text,category,evidence_googlenews,news_sources
A67,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts.",IRRIGATION - JEEVAJALA,"['KRRS-Hasiru Sene seeks removal of Water Resources Minister for not heeding pleas to implement Mahadayi project - The Hindu. KRRS-Hasiru Sene seeks removal of Water Resources Minister for not heeding pleas to implement Mahadayi project&nbsp;&nbsp;The Hindu', ""SC allows Karnataka's plea for implementation of Mahadayi Water Dispute tribunal's final award - The New Indian Express. SC allows Karnataka's plea for implementation of Mahadayi Water Dispute tribunal's final award&nbsp;&nbsp;The New Indian Express"", 'Outrage in Karnataka after Goa chief minister says Centre won’t approve Mahadayi project - The Times of India. Outrage in Karnataka after Goa chief minister says Centre won’t approve Mahadayi project&nbsp;&nbsp;The Times of India', 'Goa CM’s statement on Mahadayi project is shocking, says H.K. Patil - The Hindu. Goa CM’s statement on Mahadayi project is shocking, says H.K. Patil&nbsp;&nbsp;The Hindu', 'Protest rally against Mahadayi basin projects in Belagavi on June 3 - The Hindu. Protest rally against Mahadayi basin projects in Belagavi on June 3&nbsp;&nbsp;The Hindu', 'Mahadayi water project: Fund and approvals a matter of concern despite Budget bonanza - The Hindu. Mahadayi water project: Fund and approvals a matter of concern despite Budget bonanza&nbsp;&nbsp;The Hindu', 'D.K. Shivakumar asserts that Karnataka will go ahead with Mahadayi project - The Hindu. D.K. Shivakumar asserts that Karnataka will go ahead with Mahadayi project&nbsp;&nbsp;The Hindu', 'State takes decisive step towards Mahadayi project - The Hans India. State takes decisive step towards Mahadayi project&nbsp;&nbsp;The Hans India', 'Karnataka to take delegation to Union government over Mahadayi basin projects - The Hindu. Karnataka to take delegation to Union government over Mahadayi basin projects&nbsp;&nbsp;The Hindu', 'National Board for Wildlife defers decision on Kalasa-Banduri project in Mahadayi basin - The Hindu. National Board for Wildlife defers decision on Kalasa-Banduri project in Mahadayi basin&nbsp;&nbsp;The Hindu']","['The Hindu', 'The New Indian Express', 'The Times of India', 'The Hindu', 'The Hindu', 'The Hindu', 'The Hindu', 'The Hans India', 'The Hindu', 'The Hindu']"
A69,100% of the Mahadayi water allocated to Karnataka will be utilised,IRRIGATION - JEEVAJALA,"['Karnataka gets 13.5tmcft of Mahadayi water - The Times of India. Karnataka gets 13.5tmcft of Mahadayi water&nbsp;&nbsp;The Times of India', 'Mahadayi water battle ends: Goa says victory as it gets 24 TMC, Karnataka farmers happy with 13.4 - The Indian Express. Mahadayi water battle ends: Goa says victory as it gets 24 TMC, Karnataka farmers happy with 13.4&nbsp;&nbsp;The Indian Express', 'Mahadayi water sharing row between Goa, Karnataka: What is the issue, why it has flared up - The Indian Express. Mahadayi water sharing row between Goa, Karnataka: What is the issue, why it has flared up&nbsp;&nbsp;The Indian Express', 'CWC accepts DPRs of much-awaited Kalasa-Bhanduri drinking water scheme in Karnataka - The Hindu. CWC accepts DPRs of much-awaited Kalasa-Bhanduri drinking water scheme in Karnataka&nbsp;&nbsp;The Hindu', 'Supreme Court lets Karnataka implement Mahadayi order - Mint. Supreme Court lets Karnataka implement Mahadayi order&nbsp;&nbsp;Mint', 'Mahadayi water project: Fund and approvals a matter of concern despite Budget bonanza - The Hindu. Mahadayi water project: Fund and approvals a matter of concern despite Budget bonanza&nbsp;&nbsp;The Hindu', 'Outrage in Karnataka after Goa chief minister says Centre won’t approve Mahadayi project - The Times of India. Outrage in Karnataka after Goa chief minister says Centre won’t approve Mahadayi project&nbsp;&nbsp;The Times of India', 'Goa & Karnataka at loggerheads again over Kalasa-Banduri project as central body inspects Mahadayi basin - Down To Earth. Goa & Karnataka at loggerheads again over Kalasa-Banduri project as central body inspects Mahadayi basin&nbsp;&nbsp;Down To Earth', 'Mahadayi river water dispute receives final award - India Water Portal. Mahadayi river water dispute receives final award&nbsp;&nbsp;India Water Portal', 'KRRS-Hasiru Sene seeks removal of Water Resources Minister for not heeding pleas to implement Mahadayi project - The Hindu. KRRS-Hasiru Sene seeks removal of Water Resources Minister for not heeding pleas to implement Mahadayi project&nbsp;&nbsp;The Hindu']","['The Times of India', 'The Indian Express', 'The Indian Express', 'The Hindu', 'Mint', 'The Hindu', 'The Times of India', 'Down To Earth', 'India Water Portal', 'The Hindu']"
A70,Rs 500 crore will be allocated in the first cabinet meeting,IRRIGATION - JEEVAJALA,"[""Rs 12,650 crore: Karnataka cabinet approves Bengaluru's first tunnel road project - The Times of India. Rs 12,650 crore: Karnataka cabinet approves Bengaluru's first tunnel road project&nbsp;&nbsp;The Times of India"", 'Cabinet approves Rs 2.5k-crore upgrade for govt schools - The Times of India. Cabinet approves Rs 2.5k-crore upgrade for govt schools&nbsp;&nbsp;The Times of India', 'Krishak Bandhu Scheme: Rs 500 crore disbursed to 37 lakh farmers in eight months - The Indian Express. Krishak Bandhu Scheme: Rs 500 crore disbursed to 37 lakh farmers in eight months&nbsp;&nbsp;The Indian Express', 'Karnataka govt approves Rs 18 crore allocation for preparing plan to upgrade 800 govt schools with Rs 3,200 crore outlay - The Indian Express. Karnataka govt approves Rs 18 crore allocation for preparing plan to upgrade 800 govt schools with Rs 3,200 crore outlay&nbsp;&nbsp;The Indian Express', 'Delhi CM announces INR 100 crore for new schools, 500 crore plan for education hub in FY26 budget - The Times of India. Delhi CM announces INR 100 crore for new schools, 500 crore plan for education hub in FY26 budget&nbsp;&nbsp;The Times of India', '₹500 crore for suburban rail, 41 km of metro line to be operational in 2026-27, says Chief Minister - The Hindu. ₹500 crore for suburban rail, 41 km of metro line to be operational in 2026-27, says Chief Minister&nbsp;&nbsp;The Hindu', 'NGT asks Karnataka to shell out Rs 500 crore for lake clean-up - The Times of India. NGT asks Karnataka to shell out Rs 500 crore for lake clean-up&nbsp;&nbsp;The Times of India', 'Karnataka needs Rs 10 lakh crore by 2030 to meet development goals - The Times of India. Karnataka needs Rs 10 lakh crore by 2030 to meet development goals&nbsp;&nbsp;The Times of India', 'Karnataka budget 2023-24: Govt allocates Rs 90,000 crore for women and child welfare - The Times of India. Karnataka budget 2023-24: Govt allocates Rs 90,000 crore for women and child welfare&nbsp;&nbsp;The Times of India', 'Karnataka Cabinet meeting: Siddaramaiah govt to implement all 5 guarantees this year - The Times of India. Karnataka Cabinet meeting: Siddaramaiah govt to implement all 5 guarantees this year&nbsp;&nbsp;The Times of India']","['The Times of India', 'The Times of India', 'The Indian Express', 'The Indian Express', 'The Times of India', 'The Hindu', 'The Times of India', 'The Times of India', 'The Times of India', 'The Times of India']"
A71,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,IRRIGATION - JEEVAJALA,"['Report on Mahadayi cautions river diversion can dry up North Karnataka - The Hindu. Report on Mahadayi cautions river diversion can dry up North Karnataka&nbsp;&nbsp;The Hindu', 'Karnataka’s plan for diverting Mahadayi river water won’t have much impact on Goa: NIO hydrologists | India News - Hindustan Times. Karnataka’s plan for diverting Mahadayi river water won’t have much impact on Goa: NIO hydrologists | India News&nbsp;&nbsp;Hindustan Times', 'National Board for Wildlife defers decision on Kalasa-Banduri project in Mahadayi basin - The Hindu. National Board for Wildlife defers decision on Kalasa-Banduri project in Mahadayi basin&nbsp;&nbsp;The Hindu', 'Greens, religious leaders oppose land acquisition for Bandura Nala project in Mahadayi River basin - The Times of India. Greens, religious leaders oppose land acquisition for Bandura Nala project in Mahadayi River basin&nbsp;&nbsp;The Times of India', 'Protest against Mahadayi project in Goa - The Hindu. Protest against Mahadayi project in Goa&nbsp;&nbsp;The Hindu', 'Outrage in Karnataka after Goa chief minister says Centre won’t approve Mahadayi project - The Times of India. Outrage in Karnataka after Goa chief minister says Centre won’t approve Mahadayi project&nbsp;&nbsp;The Times of India', 'Mahadayi Water Disputes Tribunal: Trouble brewing in Paradise - South Asia Network on Dams, Rivers and People. Mahadayi Water Disputes Tribunal: Trouble brewing in Paradise&nbsp;&nbsp;South Asia Network on Dams, Rivers and People', 'Mahadayi River, Origin, Dispute, Length, Latest News - Vajiram & Ravi. Mahadayi River, Origin, Dispute, Length, Latest News&nbsp;&nbsp;Vajiram & Ravi', 'Karnataka CM Siddaramaiah writes to PM Modi seeking early clearance from National Board for Wildlife for Kalasa-Banduri Nala Diversion Project - The Hindu. Karnataka CM Siddaramaiah writes to PM Modi seeking early clearance from National Board for Wildlife for Kalasa-Banduri Nala Diversion Project&nbsp;&nbsp;The Hindu', ""Mahadayi: A dispute that's been on course since 2002 - The Times of India. Mahadayi: A dispute that's been on course since 2002&nbsp;&nbsp;The Times of India""]","['The Hindu', 'Hindustan Times', 'The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'South Asia Network on Dams, Rivers and People', 'Vajiram & Ravi', 'The Hindu', 'The Times of India']"
A72,"Priority will be given to drinking water, agriculture, and then to electricity generation",IRRIGATION - JEEVAJALA,"['AMRUT 2.0 drinking water project to be implemented in seven Yadgir towns - The Hindu. AMRUT 2.0 drinking water project to be implemented in seven Yadgir towns&nbsp;&nbsp;The Hindu', 'Karnataka expects tap water supply in every rural home by 2023 after Rs 5,008-crore grant from Centre - The Indian Express. Karnataka expects tap water supply in every rural home by 2023 after Rs 5,008-crore grant from Centre&nbsp;&nbsp;The Indian Express', 'Residents of Jat, Maharashtra, seek faster completion of drinking water, irrigation projects - The Hindu. Residents of Jat, Maharashtra, seek faster completion of drinking water, irrigation projects&nbsp;&nbsp;The Hindu', 'Andhra Pradesh govt launches comprehensive drinking water scheme in Gurazala constituency - The Times of India. Andhra Pradesh govt launches comprehensive drinking water scheme in Gurazala constituency&nbsp;&nbsp;The Times of India', 'Bengaluru’s drinking water crisis is due to delay in Mekedatu project clearance, Karnataka writes to Jal Shakti Minister C R Paatil - The Indian Express. Bengaluru’s drinking water crisis is due to delay in Mekedatu project clearance, Karnataka writes to Jal Shakti Minister C R Paatil&nbsp;&nbsp;The Indian Express', 'Withdraw order posting executive engineer to rural drinking water supply department in Raichur, State govt. urged - The Hindu. Withdraw order posting executive engineer to rural drinking water supply department in Raichur, State govt. urged&nbsp;&nbsp;The Hindu', 'Dhami government to launch ‘Jalsakhi’ for rural drinking water supply after ‘Lakhpati Didi’, another game - The Times of India. Dhami government to launch ‘Jalsakhi’ for rural drinking water supply after ‘Lakhpati Didi’, another game&nbsp;&nbsp;The Times of India', 'TN Agriculture Budget: Allocation rises marginally for 2022-23 - The Hindu. TN Agriculture Budget: Allocation rises marginally for 2022-23&nbsp;&nbsp;The Hindu', 'Karnataka government announces Cauvery Stage VI project to cater to water demand of Bengaluru - The Hindu. Karnataka government announces Cauvery Stage VI project to cater to water demand of Bengaluru&nbsp;&nbsp;The Hindu', 'Davanagere villages get 24X7 drinking water supply under Jal Jeevan Mission - The Times of India. Davanagere villages get 24X7 drinking water supply under Jal Jeevan Mission&nbsp;&nbsp;The Times of India']","['The Hindu', 'The Indian Express', 'The Hindu', 'The Times of India', 'The Indian Express', 'The Hindu', 'The Times of India', 'The Hindu', 'The Hindu', 'The Times of India']"
A73,Congress will ensure responsible and secure rehabilitation of project affected families,IRRIGATION - JEEVAJALA,"['Andhra Pradesh Lokayukta ensures compensation and rehabilitation for polavaram project displaced families - The Times of India. Andhra Pradesh Lokayukta ensures compensation and rehabilitation for polavaram project displaced families&nbsp;&nbsp;The Times of India', 'Government formulates rehabilitation and resettlement package for families who will be displaced by the project - The Hindu. Government formulates rehabilitation and resettlement package for families who will be displaced by the project&nbsp;&nbsp;The Hindu', 'Polavaram project: Adivasi Mahasabha demands immediate rehabilitation for displaced families - The Hindu. Polavaram project: Adivasi Mahasabha demands immediate rehabilitation for displaced families&nbsp;&nbsp;The Hindu', 'APCC constitutes committee to study Polavaram project, rehabilitation issues - The Hindu. APCC constitutes committee to study Polavaram project, rehabilitation issues&nbsp;&nbsp;The Hindu', 'Govt. considering cash compensation instead of rehabilitation for UKP-III oustees: D.K. Shivakumar - The Hindu. Govt. considering cash compensation instead of rehabilitation for UKP-III oustees: D.K. Shivakumar&nbsp;&nbsp;The Hindu', 'Wildlife conservationist proposes ‘Project Displaced Persons’ Certificates’ to ease pressure on Karnataka forests - The Indian Express. Wildlife conservationist proposes ‘Project Displaced Persons’ Certificates’ to ease pressure on Karnataka forests&nbsp;&nbsp;The Indian Express', 'Karnataka Chief Minister says Kerala yet to respond to his offer for housing project for Wayanad landslide victims - The Hindu. Karnataka Chief Minister says Kerala yet to respond to his offer for housing project for Wayanad landslide victims&nbsp;&nbsp;The Hindu', 'Wayanad rehabilitation: Kerala Cabinet nod for townships on Elstone, Nedumpala estates; Uralungal to carry out constructions - The Hindu. Wayanad rehabilitation: Kerala Cabinet nod for townships on Elstone, Nedumpala estates; Uralungal to carry out constructions&nbsp;&nbsp;The Hindu', 'Telangana CM dares BRS and BJP leaders to stay in houses on Musi riverbed to prove claims against rejuvenation project - The Hindu. Telangana CM dares BRS and BJP leaders to stay in houses on Musi riverbed to prove claims against rejuvenation project&nbsp;&nbsp;The Hindu', ""'Such actions ... ': Congress flags Karnataka government's demolition drive; calls it 'serious concern' - The Times of India. 'Such actions ... ': Congress flags Karnataka government's demolition drive; calls it 'serious concern'&nbsp;&nbsp;The Times of India""]","['The Times of India', 'The Hindu', 'The Hindu', 'The Hindu', 'The Hindu', 'The Indian Express', 'The Hindu', 'The Hindu', 'The Hindu', 'The Times of India']"
A74,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,IRRIGATION - JEEVAJALA,['Karnataka faces hydra-headed problem in fight for water - The New Indian Express. Karnataka faces hydra-headed problem in fight for water&nbsp;&nbsp;The New Indian Express'],['The New Indian Express']
A76,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,Industry and Commerce,"['Malabar Gold & Diamonds launches grand bridal jewellery show in Mangaluru - Daijiworld. Malabar Gold & Diamonds launches grand bridal jewellery show in Mangaluru&nbsp;&nbsp;Daijiworld', 'Congress promises action, including ban, on organisations spreading hatred in Karnataka manifesto - Telegraph India. Congress promises action, including ban, on organisations spreading hatred in Karnataka manifesto&nbsp;&nbsp;Telegraph India']","['Daijiworld', 'Telegraph India']"
A77,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,Industry and Commerce,"['KSSIDC to set up more industrial estates - The Hindu. KSSIDC to set up more industrial estates&nbsp;&nbsp;The Hindu', 'Peenya Industrial Area notified as special investment region; industry bodies laud move - The Hindu. Peenya Industrial Area notified as special investment region; industry bodies laud move&nbsp;&nbsp;The Hindu', 'KDA urges govt. to implement 5% education quota for Kannadigas in border regions and outside State - The Hindu. KDA urges govt. to implement 5% education quota for Kannadigas in border regions and outside State&nbsp;&nbsp;The Hindu', ""Peenya, South Asia's Largest Industrial Cluster, Cries For Urgent Govt Attention - ETV Bharat. Peenya, South Asia's Largest Industrial Cluster, Cries For Urgent Govt Attention&nbsp;&nbsp;ETV Bharat"", 'Karnataka Global Investor Meet 2025 and Industrial Policy 2025-30 - India Briefing. Karnataka Global Investor Meet 2025 and Industrial Policy 2025-30&nbsp;&nbsp;India Briefing', 'Uttarakhand Tourism, Economy, Agriculture, and Industries Insights - IBEF. Uttarakhand Tourism, Economy, Agriculture, and Industries Insights&nbsp;&nbsp;IBEF', 'Industry bats for cheaper undeveloped land, not direct allotment scheme - The Times of India. Industry bats for cheaper undeveloped land, not direct allotment scheme&nbsp;&nbsp;The Times of India', 'Several scams have taken place through Eknath Shinde, claims Aaditya Thackeray - The Economic Times. Several scams have taken place through Eknath Shinde, claims Aaditya Thackeray&nbsp;&nbsp;The Economic Times', 'Gujarat Economy, GDP, Tourism, Industries & Agriculture Insights - IBEF. Gujarat Economy, GDP, Tourism, Industries & Agriculture Insights&nbsp;&nbsp;IBEF', '23.02.2026: Governor Acharya Devvrat Addresses First Session of 2026 - rajbhavan-maharashtra.gov.in. 23.02.2026: Governor Acharya Devvrat Addresses First Session of 2026&nbsp;&nbsp;rajbhavan-maharashtra.gov.in']","['The Hindu', 'The Hindu', 'The Hindu', 'ETV Bharat', 'India Briefing', 'IBEF', 'The Times of India', 'The Economic Times', 'IBEF', 'rajbhavan-maharashtra.gov.in']"
A78,To provide start-up fund of Rs. 10 crores to each constituency.,Industry and Commerce,"['As it Happened: MLA Constituency development fund increased to Rs. 1.5 crore - The Hindu. As it Happened: MLA Constituency development fund increased to Rs. 1.5 crore&nbsp;&nbsp;The Hindu', 'Each MLA in Karnataka to get ₹50 crore for developmental work in their constituency: Report | Bengaluru - Hindustan Times. Each MLA in Karnataka to get ₹50 crore for developmental work in their constituency: Report | Bengaluru&nbsp;&nbsp;Hindustan Times', 'Karnataka CM Siddaramaiah launches projects worth ₹1,107 crore for Varuna constituency - The Hindu. Karnataka CM Siddaramaiah launches projects worth ₹1,107 crore for Varuna constituency&nbsp;&nbsp;The Hindu', 'Increase funds under MPLADS to ₹10 crore: Stalin - The Hindu. Increase funds under MPLADS to ₹10 crore: Stalin&nbsp;&nbsp;The Hindu', 'Lok Sabha MPs:Full MPLADS funds spent in only 35 of 543 constituencies | Chennai News - The Times of India. Lok Sabha MPs:Full MPLADS funds spent in only 35 of 543 constituencies | Chennai News&nbsp;&nbsp;The Times of India', 'Govt Raises MLA LAD Fund To 15cr A Year - The Times of India. Govt Raises MLA LAD Fund To 15cr A Year&nbsp;&nbsp;The Times of India', 'Gujarat MPs spent just 4.2% of local area development funds: Report - The Times of India. Gujarat MPs spent just 4.2% of local area development funds: Report&nbsp;&nbsp;The Times of India', '₹5,000 crore allocation for infra devpt in Kalyana K’taka; funding for Raichur airport - The Times of India. ₹5,000 crore allocation for infra devpt in Kalyana K’taka; funding for Raichur airport&nbsp;&nbsp;The Times of India', 'Bengaluru Roads Fund: Karnataka Govt Allocates Rs 1,100 Cr for Repairs - Deccan Herald. Bengaluru Roads Fund: Karnataka Govt Allocates Rs 1,100 Cr for Repairs&nbsp;&nbsp;Deccan Herald', 'T.N. CM Stalin announces launch of co-creation fund to support startups - The Hindu. T.N. CM Stalin announces launch of co-creation fund to support startups&nbsp;&nbsp;The Hindu']","['The Hindu', 'Hindustan Times', 'The Hindu', 'The Hindu', 'The Times of India', 'The Times of India', 'The Times of India', 'The Times of India', 'Deccan Herald', 'The Hindu']"
A79,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",Industry and Commerce,"[""Karnataka elections: Congress manifesto aims to expand IT contribution to over 25% of state's GDP - Business Today. Karnataka elections: Congress manifesto aims to expand IT contribution to over 25% of state's GDP&nbsp;&nbsp;Business Today""]",['Business Today']
A80,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,Industry and Commerce,[],[]
A81,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,Industry and Commerce,"['New EV Draft Policy Proposes No New Petrol Two-Wheeler Registrations In Delhi From 2028 - ACKO Drive. New EV Draft Policy Proposes No New Petrol Two-Wheeler Registrations In Delhi From 2028&nbsp;&nbsp;ACKO Drive', 'Sustainable Urban Mobility in India: Integrated Solutions for Growing Cities - Vision IAS. Sustainable Urban Mobility in India: Integrated Solutions for Growing Cities&nbsp;&nbsp;Vision IAS', 'Clean Fleets: Increasing deployment of sustainable mobility solutions - Indian Infrastructure Magazine. Clean Fleets: Increasing deployment of sustainable mobility solutions&nbsp;&nbsp;Indian Infrastructure Magazine', 'Corporation pushes for solar rooftop and e-vehicle subsidies to achieve zero carbon emission - The Times of India. Corporation pushes for solar rooftop and e-vehicle subsidies to achieve zero carbon emission&nbsp;&nbsp;The Times of India', 'Top EV-friendly States In India That Offer The Best Incentives To Electric Car Buyers - CarDekho. Top EV-friendly States In India That Offer The Best Incentives To Electric Car Buyers&nbsp;&nbsp;CarDekho', 'Karnataka’s Clean Mobility Policy 2025-30 Targets ₹500 Billion Investment - Mercomindia.com. Karnataka’s Clean Mobility Policy 2025-30 Targets ₹500 Billion Investment&nbsp;&nbsp;Mercomindia.com', 'Sustainable transportation in India - S&P Global. Sustainable transportation in India&nbsp;&nbsp;S&P Global', 'GST on Electric Vehicles (EVs): Latest Rates and Impact - ClearTax. GST on Electric Vehicles (EVs): Latest Rates and Impact&nbsp;&nbsp;ClearTax', 'EV Battery Recycling in India: A Green Revolution - IBEF. EV Battery Recycling in India: A Green Revolution&nbsp;&nbsp;IBEF', 'Electric Vehicle Market in India: Growth & Opportunities - Business Outreach Magazine. Electric Vehicle Market in India: Growth & Opportunities&nbsp;&nbsp;Business Outreach Magazine']","['ACKO Drive', 'Vision IAS', 'Indian Infrastructure Magazine', 'The Times of India', 'CarDekho', 'Mercomindia.com', 'S&P Global', 'ClearTax', 'IBEF', 'Business Outreach Magazine']"
A82,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,Industry and Commerce,"['Rahul promises to make Ballari the jeans capital of India - The Hindu. Rahul promises to make Ballari the jeans capital of India&nbsp;&nbsp;The Hindu', 'Karnataka halves land prices at Ballari Jeans Park to revive textile investments and jobs | Manufacturing News India - Apparel Resources. Karnataka halves land prices at Ballari Jeans Park to revive textile investments and jobs | Manufacturing News India&nbsp;&nbsp;Apparel Resources', 'KIADB to establish jeans park near Ballari, Government acquires 154 acres for project - Apparel Resources. KIADB to establish jeans park near Ballari, Government acquires 154 acres for project&nbsp;&nbsp;Apparel Resources', 'Plans for making Ballari world’s jeans capital are on, says Rahul Gandhi - The Hindu. Plans for making Ballari world’s jeans capital are on, says Rahul Gandhi&nbsp;&nbsp;The Hindu', 'What stops Bellary from becoming jeans hub? Govt apathy, says industry - The Siasat Daily. What stops Bellary from becoming jeans hub? Govt apathy, says industry&nbsp;&nbsp;The Siasat Daily', 'Ballari to get Jeans Park thanks to Karnataka government - Construction Week India. Ballari to get Jeans Park thanks to Karnataka government&nbsp;&nbsp;Construction Week India', 'Jeans Park to come up in Ballari as Karnataka sets out to implement Rahul’s promise - The Economic Times. Jeans Park to come up in Ballari as Karnataka sets out to implement Rahul’s promise&nbsp;&nbsp;The Economic Times', '‘Denim capital’ of Karnataka faces uncertain future: 36 jeans washing units shut over environmental concerns in Ballari - The Indian Express. ‘Denim capital’ of Karnataka faces uncertain future: 36 jeans washing units shut over environmental concerns in Ballari&nbsp;&nbsp;The Indian Express', 'Land Costs Halved As Karnataka Pushes Ballari Jeans Park Revival - Textile Excellence. Land Costs Halved As Karnataka Pushes Ballari Jeans Park Revival&nbsp;&nbsp;Textile Excellence', 'Select land to set up jeans park in Ballari: CM Siddaramaiah to officials - The New Indian Express. Select land to set up jeans park in Ballari: CM Siddaramaiah to officials&nbsp;&nbsp;The New Indian Express']","['The Hindu', 'Apparel Resources', 'Apparel Resources', 'The Hindu', 'The Siasat Daily', 'Construction Week India', 'The Economic Times', 'The Indian Express', 'Textile Excellence', 'The New Indian Express']"
A75,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",IRRIGATION - JEEVAJALA,"['Citizens launch initiative to clean Cauvery - The Hindu. Citizens launch initiative to clean Cauvery&nbsp;&nbsp;The Hindu', 'DRP 260224: Karnataka faces Drought, Farmer Distress, water scarcity - South Asia Network on Dams, Rivers and People. DRP 260224: Karnataka faces Drought, Farmer Distress, water scarcity&nbsp;&nbsp;South Asia Network on Dams, Rivers and People', 'Girish Mahajan vows adequate funds for Kumbh Mela; Rs 700-crore works launched - The Times of India. Girish Mahajan vows adequate funds for Kumbh Mela; Rs 700-crore works launched&nbsp;&nbsp;The Times of India', 'Gomti Rejuvenation Mission Launched for River Restoration - GK Today. Gomti Rejuvenation Mission Launched for River Restoration&nbsp;&nbsp;GK Today', 'India faces severe water crisis: Solve major disputes, clean rivers on priority - The Economic Times. India faces severe water crisis: Solve major disputes, clean rivers on priority&nbsp;&nbsp;The Economic Times', ""What is ‘Sanchari Cauvery’? Bengaluru's new government-run water tanker service explained | Bengaluru - Hindustan Times. What is ‘Sanchari Cauvery’? Bengaluru's new government-run water tanker service explained | Bengaluru&nbsp;&nbsp;Hindustan Times"", 'India-led Global River Cities Alliance launched at COP28 - The Indian Express. India-led Global River Cities Alliance launched at COP28&nbsp;&nbsp;The Indian Express', 'Chhattisgarh’s Dhamtari launches ‘MAA’ to restore Mahanadi source focus on river revival, green cover & t - The Times of India. Chhattisgarh’s Dhamtari launches ‘MAA’ to restore Mahanadi source focus on river revival, green cover & t&nbsp;&nbsp;The Times of India', 'Top Water-Related Missions And Projects In News 2026: One-liners - Gkbooks. Top Water-Related Missions And Projects In News 2026: One-liners&nbsp;&nbsp;Gkbooks', 'CM promises ‘froth-free’ Yamuna to devotees during Chhath Puja - The Hindu. CM promises ‘froth-free’ Yamuna to devotees during Chhath Puja&nbsp;&nbsp;The Hindu']","['The Hindu', 'South Asia Network on Dams, Rivers and People', 'The Times of India', 'GK Today', 'The Economic Times', 'Hindustan Times', 'The Indian Express', 'The Times of India', 'Gkbooks', 'The Hindu']"
A84,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,Industry and Commerce,"['SBI to offer collateral-free assistance up to ₹2 crore to start-ups - The Hindu. SBI to offer collateral-free assistance up to ₹2 crore to start-ups&nbsp;&nbsp;The Hindu', 'Kerala Financial Corporation announces loans up to Rs 10 crore for startups - The Times of India. Kerala Financial Corporation announces loans up to Rs 10 crore for startups&nbsp;&nbsp;The Times of India', 'Startups receive ₹25 crore grant under ELEVATE 2024 from Karnataka government - The Hindu. Startups receive ₹25 crore grant under ELEVATE 2024 from Karnataka government&nbsp;&nbsp;The Hindu', '₹20cr to 100 startups; K’taka 1st to give aid sans equity: Min - The Times of India. ₹20cr to 100 startups; K’taka 1st to give aid sans equity: Min&nbsp;&nbsp;The Times of India', 'Karnataka Budget: Three new schemes for start-ups announced - The Hindu. Karnataka Budget: Three new schemes for start-ups announced&nbsp;&nbsp;The Hindu', 'Karnataka launches new programmes to help start-ups - The Hindu. Karnataka launches new programmes to help start-ups&nbsp;&nbsp;The Hindu', 'Share of women-led start-ups in ELEVATE sees steady rise - The Hindu. Share of women-led start-ups in ELEVATE sees steady rise&nbsp;&nbsp;The Hindu', 'Karnataka tech push: New IT policy rolled out; Rs 50,000 perk for firms moving talent beyond Bengaluru - The Times of India. Karnataka tech push: New IT policy rolled out; Rs 50,000 perk for firms moving talent beyond Bengaluru&nbsp;&nbsp;The Times of India', '2 flagship startup programs launched in Karnataka - The Times of India. 2 flagship startup programs launched in Karnataka&nbsp;&nbsp;The Times of India', 'An Exhaustive List Of 200+ Startup Incubators in India - Inc42. An Exhaustive List Of 200+ Startup Incubators in India&nbsp;&nbsp;Inc42']","['The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'The Hindu', 'The Hindu', 'The Hindu', 'The Times of India', 'The Times of India', 'Inc42']"
