promise_id,promise_text,category,prs_evidences_acts,prs_evidences_bills
P21,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads.",Regional and Rural Development,"['Create a fund for the development of the area', 'Establish a fund for the development of the Kshetra', 'Create a fund for the development of tourism in the region', 'Allocate premises in Special Investment Regions for industrial and commercial activities', 'Establish Shree Ghati Subramanya Kshetra Development Authority']","['Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993', 'Replace the Karnataka Gram Swaraj and Panchayat Raj (Amendment) Ordinance, 2023 with this Bill', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Repeal the Karnataka Gram Swaraj and Panchayat Raj (Amendment) Ordinance, 2023', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum']"
P22,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.,Urban Development,"['Establish not more than seven City Corporations in the Greater Bengaluru Area for effective, participatory and responsive governance', 'Establish the Bengaluru Metropolitan Land Transport Authority', 'Institute a decentralised, participative, efficient and equitable governance framework for Bengaluru', 'Establish the Greater Bengaluru Authority for co-ordinating and supervising the development of the Greater Bengaluru Area', 'Integrate and streamline political accountability of all public authorities delivering services in the Greater Bengaluru Area']","['Insert City Corporations of Greater Bengaluru Area into the Bengaluru Metropolitan Land Transport Authority Act, 2022', 'Establish the Bengaluru Metropolitan Land Transport Authority with new members, including Mayors and Commissioners of City Corporations', 'Expand membership of the Greater Bengaluru Authority', 'Specify the Common Cadre and Recruitment Rules for the Greater Bengaluru Authority and City Corporations', 'Replace the Bruhat Bengaluru Mahanagara Palike with the Greater Bengaluru Authority in the Bengaluru Metropolitan Land Transport Authority Act, 2022']"
P23,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya",Urban Development,"['Establish Shree Huligemma Devi Kshetra Development Authority', 'Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish Shree Ghati Subramanya Kshetra Development Authority', 'Establish Shree Renuka Yellamma Kshetra Tourism Development Board', 'Establish the Basavanabagewadi Development Authority']","['Establish Shree Huligemma Devi Kshetra Development Authority', 'Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish Shree Ghati Subramanya Kshetra Development Authority', 'Authorize the Banavasi Development Authority to acquire, hold, and dispose of property', 'Authorize the Basavakalyana Development Board to acquire, hold, and dispose of property']"
P24,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners.",Urban Development,"['Amend the Bombay Public Trust Act, 1950 in its application to the State of Karnataka', 'Amend the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024', 'Amend Karnataka Civil Engineers Act, 1946', 'Repeal the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024', ""Empower the Government of Karnataka to appoint a date for the Act's commencement""]","['Amend the Karnataka Co-operative Societies Act, 1959', ""Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993 to comply with the direction of the Hon'ble High Court of Karnataka"", 'Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993', 'Amend the Notaries Act, 1952, to apply to the State of Karnataka.', 'Amend Karnataka Stamp Act, 1957 to reflect changes']"
P25,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.,Urban Development,"['Establish Special Investment Regions for large-scale industrial development', 'Allocate premises in Special Investment Regions for industrial and commercial activities', 'Override other State laws to facilitate Special Investment Region development', 'Establish a new framework for regional laws', 'Specify the conditions of service of employees']","['Increase penalty for non-compliance with building regulations', 'Subject construction of high-rise buildings to National Building Code 2016', 'Levy a Cess on Related Establishments', 'Specify penalties for non-compliance with building construction regulations', 'Regulate working hours for construction activities']"
P26,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance.",Agriculture and farming,"['Allocate premises in Special Investment Regions for industrial and commercial activities', 'Create a fund for the development of the area', 'Establish a fund for the development of the Kshetra', 'Establish the Chandraguthi Shree Renukamba Kshetra Development Authority', 'Establish Shree Ghati Subramanya Kshetra Development Authority']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Increase maximum fine to five lakh rupees', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes']"
P27,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce",Agriculture and farming,"['Establish a system for the fixation of fees', 'Amend the Bombay Public Trust Act, 1950 in its application to the State of Karnataka', 'Establish the Official Language Commission', 'Constitute an Implementation Committee to oversee development projects', 'Provide for financial allocation in the State Plan to the Board']","['Empower the Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes to modify reservation percentages for Scheduled Castes', 'Constitute the Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes with its headquarters at Bangalore', 'Amend the Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes Act, 2002', 'Amend the Karnataka Transparency in Public Procurements Act, 1999 to give effect to proposals made in the Budget Speech for the year 2025-2026', 'Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993']"
P28,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.,Agriculture and farming,"['Protect economically vulnerable groups and individuals from usurious interest rates', 'Establish a fund for the Authority and grant powers to raise finances and borrow', 'Establish a Registering Authority for micro loan and small loan transactions', 'Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Create a fund for the development of the area']","['Increase loan recovery fine from one thousand to five lakh', 'Increase maximum settlement amount to three lakh rupees', 'Increase maximum fine to five lakh rupees', 'Increase penalty fine from Rs. 2,000 to Rs. 1 lakh', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores']"
P29,To promote Agro based village industries run by rural women by investing Rs.200 crores.,Agriculture and farming,"['Create a fund for the development of the area', 'Create a fund for the development of tourism in the region', 'Allocate premises in Special Investment Regions for industrial and commercial activities', ""Establish a fund for the development authority's operations and projects"", 'Establish the Karnataka Sheep and Wool Development Corporation Ltd.']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Liberate devadasi women and their children from exploitation', 'Establish Market Development Assistance Fund for financially weak Agricultural Produce Marketing Committees']"
P30,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.,Agriculture and farming,"['Specify the enactments to be repealed', 'Repeal the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024', 'Exclude revival of repealed enactments and their effects', 'Repeal certain Amendment Acts', 'Amend the Karnataka Repealing of Certain Enactments and Regional Laws Act, 2024']","['Repeal certain enactments and regional laws in force in Karnataka State', 'Repeal the Karnataka Gram Swaraj and Panchayat Raj (Amendment) Ordinance, 2023', 'Repeal the Bruhat Bengaluru Mahanagara Palike (Amendment) Ordinance, 2024', 'Specify the applicability of the Karnataka General Clauses Act, 1899 in respect of the repeal of the enactments', 'Repeal the Karnataka Goods and Services Tax (Amendment) Ordinance, 2023']"
P31,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.,Agriculture and farming,"['Create a fund for the development of the area', 'Establish a fund for the development of the Kshetra', ""Establish a fund for the development authority's operations and projects"", 'Establish the Basavanabagewadi Development Authority', 'Create a fund for the development of tourism in the region']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Establish Market Development Assistance Fund for financially weak Agricultural Produce Marketing Committees', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Constitute the Sarvajna Kshetra Development Authority as a body corporate']"
P32,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers.",Agriculture and farming,"['Establish the Basavanabagewadi Development Authority', ""Establish a fund for the development authority's operations and projects"", 'Empower the Board to prepare a comprehensive plan for Karavali Area development', 'Establish Shree Renuka Yellamma Kshetra Tourism Development Board', 'Create a fund for the development of the area']","['Establish the Basavanabagewadi Development Authority', 'Establish the Karavali Development Board', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes', 'Mandate 15% of government construction works under Rs. 1 crore to be tendered among backward castes (Category II(A))']"
P33,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation,Agriculture and farming,"['Establish a fund for the development of the Kshetra', 'Establish the Basavanabagewadi Development Authority', 'Specify user charges for amenities and services in Special Investment Regions', 'Establish Shree Chamundeshwari Kshetra Development Authority', 'Establish the Chandraguthi Shree Renukamba Kshetra Development Authority']","['Regulate groundwater extraction within 500 meters of lift irrigation schemes', 'Introduce new procedures for water rate collection and drawal', 'Introduce charges for commercial, industrial, mining, and infrastructure projects extracting groundwater', ""Establish 'Irrigation Court' for quasi-judicial functions"", 'Exempt certain categories of consumers from obtaining permits for groundwater extraction']"
P34,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.,Agriculture and farming,"['Authorize the Board to collect fees and charges for its services', 'Create a fund for the development of the area', 'Provide for financial allocation in the State Plan to the Board', 'Establish a system for the fixation of fees', 'Specify user charges for amenities and services in Special Investment Regions']","['Exempt land for renewable energy projects from conversion requirements', 'Exempt the proposed measure from extra expenditure', 'Exempt surplus candidates from compulsory service', 'Enhance regulatory mechanism for controlling market activities', 'Revise tax structure for building construction']"
P35,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.,Agriculture and farming,"['Protect economically vulnerable groups and individuals from usurious interest rates', 'Create a fund for the development of the area', 'Establish a Registering Authority for micro loan and small loan transactions', 'Establish a fund for financing schemes to provide social security and welfare of Cine and Cultural activists', 'Establish a fund for the Authority and grant powers to raise finances and borrow']","['Increase loan recovery fine from one thousand to five lakh', 'Establish Market Development Assistance Fund for financially weak Agricultural Produce Marketing Committees', 'Allow self-declaration for conversion of agricultural land to non-agricultural purpose', 'Specify lending norms, collection, and recovery practices', 'Review list of board of directors who have borrowed loans from the cooperative']"
P36,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.,Agriculture and farming,"['Establish a permanent statutory endowment fund', 'Create a fund for the development of the area', 'Create a fund for the development of tourism in the region', 'Establish the Fund of the Authority', 'Create a fund for welfare and rehabilitation of motor transport and allied workers']","['Create a fund for the Authority', 'Establish the Fund of the Authority', 'Create a welfare board to administer the fund established under the Act', 'Establish a fund for the Authority and specify its management', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores']"
P37,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest,Agriculture and farming,"['Protect economically vulnerable groups and individuals from usurious interest rates', 'Establish mechanism for recovery of proceeds of crime', 'Specify that no transferable development rights shall be payable as compensation or otherwise for infrastructure projects', 'Provide for financial allocation in the State Plan to the Board', 'Adjust compensation paid for land utilization against the total compensation payable under the Bangalore Palace (Acquisition and Transfer) Act, 1996']","['Establish Market Development Assistance Fund for financially weak Agricultural Produce Marketing Committees', 'Require Agricultural Produce Marketing Committees to submit project reports for financial assistance', 'Extend loan recovery period from six months to ten years', 'Increase loan recovery fine from one thousand to five lakh', 'Increase penalty for selling agricultural land for non-agricultural purposes']"
P38,To provide possession certificates to the famers of Malnad.,Agriculture and farming,"['Regulate possession and disclosure of question papers', 'Provide for the appointment of officers and employees of the Authority', 'Establish the Fund of the Authority', 'Specify the Fund of the Authority', ""Provide for the audit and accounting of the Authority's finances""]","['Revise the jurisdiction of the Malnad Area Development Board', 'Include members of the Karnataka Legislative Council in the Malnad Area Development Board', 'Amend the Malnad Area Development Board Act, 1991', 'Establish the Fund of the Authority', 'Specify the powers and duties of the Registrar and other functionaries']"
P39,To establish an Agriculture Price Commission in each revenue division.,Agriculture and farming,"['Establish the Finance Committee and its powers', 'Establish the District Level Committee and State Level Committee', 'Establish a Commission to study and submit a report on reservation for Scheduled Castes and Scheduled Tribes', 'Appoint the Chairman, Commissioner, Secretary, and other employees of the Authority', ""Establish a fund for the development authority's operations and projects""]","['Establish Market Development Assistance Fund for financially weak Agricultural Produce Marketing Committees', 'Establish a new hierarchical structure for the Karnataka Land Revenue Department', 'Authorize Agricultural Produce Marketing Committees to undertake procurement operations', 'Establish a committee to examine and declare that goods or services are available from a single source', 'Require Agricultural Produce Marketing Committees to submit project reports for financial assistance']"
P40,Toassist the grape growers by providing subsidies - allotment of Rs.500 Crore.,Horticulture,"['Create a fund for the development of the area', 'Establish Special Investment Regions for large-scale industrial development', 'Allocate premises in Special Investment Regions for industrial and commercial activities', 'Establish the Basavanabagewadi Development Authority', 'Establish a fund for the development of the Kshetra']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Mandate 15% of government construction works under Rs. 1 crore to be tendered among backward castes (Category II(A))']"
P41,"To provide special package for development of floriculture in Bengaluru, Ramanagara and Chikkaballapura by investing Rs.500 crores.",Horticulture,"['Establish the Greater Bengaluru Authority for co-ordinating and supervising the development of the Greater Bengaluru Area', 'Establish the Bengaluru Metropolitan Land Transport Authority', 'Create a fund for the development of the area', 'Create a fund for the development of tourism in the region', 'Establish a fund for the development of the Kshetra']","['Specify the headquarters of the Nadaprabhu Kempegowda Heritage Area Development Authority at Bengaluru', 'Replace the Bruhat Bengaluru Mahanagara Palike with the Greater Bengaluru Authority in the Bengaluru Metropolitan Land Transport Authority Act, 2022', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes']"
