promise_id,promise_text,category,evidence_googlenews,evidence_govwebsites
P18,To reduce registration fee concerning Gift & Will on landed property within the family .,LAW AND JUSTICE -- All are equal before law.,"['Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'SMART Stage 2 - Department of Transportation (.gov)', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'VA Secretary Doug Collins addresses Veterans’ benefits in new video - VA News (.gov)']",[]
P25,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.,Urban Development,[],[]
P22,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.,Urban Development,"['SMART Stage 2 - Department of Transportation (.gov)', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P24,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners.",Urban Development,"['RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P26,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance.",Agriculture and farming,['Help save 2 million lives: close the vaccine funding gap - Nature'],[]
P28,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.,Agriculture and farming,"['RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'Only 2 States Saw Their Share Of US Venture Funding Rise Last Year - Crunchbase News', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P32,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers.",Agriculture and farming,[],[]
P27,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce",Agriculture and farming,"['RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements', '""Worried About Implementation"": Former NCERT Chief Flags Gaps Amid 3-Language Formula Debate - NDTV', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company']",[]
P34,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.,Agriculture and farming,[],[]
P29,To promote Agro based village industries run by rural women by investing Rs.200 crores.,Agriculture and farming,['RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR'],[]
P36,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.,Agriculture and farming,[],[]
P35,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.,Agriculture and farming,"['Lakhpati Didi initiative: How women entrepreneurs are transforming Uttar Pradesh’s economy - The Times of India', 'Overview of Karnataka Budget 2023-24 - NammaKPSC', 'Press Note Details: Press Information Bureau - PIB']",[]
P30,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.,Agriculture and farming,[],[]
P31,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.,Agriculture and farming,"['RBI defers implementation of amendment directions on capital market exposures by three months to July 1 - The Hindu', 'OpenAI closes record-breaking $122 billion funding round as anticipation builds for IPO - CNBC']",[]
P33,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation,Agriculture and farming,"['Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P38,To provide possession certificates to the famers of Malnad.,Agriculture and farming,"['Warranty Definition, How It Works, Types, and Example - Investopedia', 'The Promise of Digital Health: Then, Now, and the Future - National Academy of Medicine', 'The Sustainable Development Goals - Welcome to the United Nations', 'How artificial intelligence is transforming the world - Brookings']",[]
P41,"To provide special package for development of floriculture in Bengaluru, Ramanagara and Chikkaballapura by investing Rs.500 crores.",Horticulture,[],[]
P43,"To create ""Sericulture Stability Revolving Fund"" with Rs.2000 Crores as initial deposit.",Sericulture,[],[]
P39,To establish an Agriculture Price Commission in each revenue division.,Agriculture and farming,['RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements'],[]
P37,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest,Agriculture and farming,"['Syria signs dozens of accords to push for economic recovery - سانا', 'Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature', 'The 2028-2034 EU budget for a stronger Europe - European Commission', 'Snowflake query optimization: A comprehensive guide 2026 (part 1) - Flexera']",[]
P40,Toassist the grape growers by providing subsidies - allotment of Rs.500 Crore.,Horticulture,"['Some California winemakers don’t want tariffs on their European competitors. Here’s why - CalMatters', 'Farmers First - USDA (.gov)', 'Parliamentary secretary’s statement on support for B.C. wine sector - BC Gov News', 'USDA Launches New Round of Disaster Aid: What Producers Need to Know to Sign Up - AgWeb', 'Trump Administration Announces $12 Billion Farmer Bridge Payments for American Farmers Impacted by Unfair Market Disruptions - USDA (.gov)', 'Trump Administration Announces $12 Billion Farmer Bridge Payments for American Farmers Impacted by Unfair Market Disruptions - USDA (.gov)']",[]
P44,To provide Rs 3 lakh interest-free loans to all silk yarn reelers,Sericulture,['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com'],[]
P42,To create a brand for Coffee in Karnataka.,Horticulture,"['Eco-Friendly Products: 38 Bestsellers For 2026 - Shopify', 'IPL 2026 Points Table: SRH Enters Top-4 After Beating CSK, RCB Stays Second - zoomnews.in']",[]
P47,"To establish Kurigahi Samvardhana Nidhi - Rs 1,000 Crore fund for sheep rearing.",Dairy Development and Animal Husbandry:,"['Opinion | Noam Chomsky: The False Promise of ChatGPT (Published 2023) - The New York Times', ""Trump promised peace in Ukraine within a day. Here's what actually happened - NPR"", ""Here's where Trump's promises stand a year into his second term - WCVB"", 'Few have tried OpenAI’s Google killer. Here’s what they think. - The Washington Post']",[]
P48,Ksheeradhare — To increase the per litre milk subsidy for all dairy farmers from Rs.5 to Rs.7/-.,Dairy Development and Animal Husbandry:,[],[]
P50,"Kranthi Credit Cards with a credit limit of Rs.50,000.",Dairy Development and Animal Husbandry:,[],[]
P51,Runamuktha Kurigahi Yojane: To waive the Loan upto Rs | lakh of all sheep and goat rearing farmers.,Dairy Development and Animal Husbandry:,[],[]
P45,To implement Ksheera Kranthi - Mission 1.5 Crore litres of milk production per day.,Dairy Development and Animal Husbandry:,"['MetaMask to launch Season 1 LINEA token rewards query feature this week - Bitget', 'How to Implement Three Use Cases for the New Calendar-Based Time Intelligence - Towards Data Science', ""Cash For Query Row: Delhi High Court Grants Two Months' Time To Lokpal For Deciding Sanction Against... - Live Law"", 'Khyati Global Ventures Clarifies Share Price Movement Following BSE Surveillance Query - scanx.trade']",[]
P52,To purchase cow-dung @Rs.3/- per KG and establish compost/manure centers in villages involving rural women/Youth.,Dairy Development and Animal Husbandry:,"[""Seven ingredients of the Congress' Karnataka magic recipe - The Economic Times""]",[]
P46,Pashu Bhagya - To give loans upto Rs.3 lakhs at zero interest to dairy farmers to purchase superior Cow/Buffalo breed.,Dairy Development and Animal Husbandry:,"['South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'Help save 2 million lives: close the vaccine funding gap - Nature', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR']",[]
P54,"Matsyakranthi - to make projects to rise in five years Rs 12,000 Crore Blue",Fisheries - Blue Economy,['Congress promises better days for farmers in Karnataka manifesto - RuralVoice'],[]
P55,"""Matysa Sarvodaya Nidhi"" - To establish a Rs 5000 Crore fund to improve the fishing sector as a whole.",Fisheries - Blue Economy,[],[]
P57,Matsya Bhagya — To provide 500 litres of tax-free diesel every year for deep sea fishing.,Fisheries - Blue Economy,[],[]
P58,"To provide financial assistance of Rs 10,000 to all the Nadadoni fishermen",Fisheries - Blue Economy,[],[]
P59,Matsya Mahithi Kendra - To establish a state-of-the-art satellite mapping centre at UDUPI.,Fisheries - Blue Economy,[],[]
P53,To provide interest-free loans to women to buy 2 cows or buffalos.,Dairy Development and Animal Husbandry:,"['Rs 1 lakh interest-free loan for cattle rearers in Rajasthan: No CIBIL score needed; know the step-by-step ... - Bhaskar English', 'Despite growing climate risk, livestock insurance is out of women farmers’ reach - BehanBox', 'Exemption for agri land conversion for industries - The Times of India']",[]
P60,To arrange dredging at the points of anchorages in the jetties/ports or places where the fishing boats are being anchored.,Fisheries - Blue Economy,[],[]
P49,Ksheera Kranti Credit Cards — To provide all dairy farmers with Ksheera,Dairy Development and Animal Husbandry:,"['VA Secretary Doug Collins addresses Veterans’ benefits in new video - VA News (.gov)', ""The Best Alternative Search Engines We've Tested for 2026 - PCMag""]",[]
P61,"""Matsya Ashraya Yojane"" - Ensure Housing to all economically disadvantaged fishermen.",Fisheries - Blue Economy,[],[]
P62,"Mathsya Asha Kirana Yojane-—To provide Rs 6,000 to all the marine fishermen as alean period allowance during the fishing holiday.",Fisheries - Blue Economy,[],[]
P63,To Spend Rs. 1.5 lakh crores for irrigation in the next 5 years (2023 to 2028).,IRRIGATION - JEEVAJALA,[],[]
P67,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts.",IRRIGATION - JEEVAJALA,[],[]
P64,To pursue— and complete them within five years and provide budgetary support,IRRIGATION - JEEVAJALA,"['Tata Steel gets Indo-Sweden funding for 2 transition projects - BusinessLine', 'Three Secrets to Successful Public-Sector Project Implementation - Inter-American Development Bank', 'Two SMR projects selected for US federal funding - World Nuclear News', 'Two Czech projects are awarded EU funding to develop social infrastructure in the Moravia-Silesia coal region - European Climate, Infrastructure and Environment Executive Agency', 'America Makes announces two project calls worth more than $35M in funding - Aerospace Manufacturing and Design']",[]
P66,". Existing projects : Upper Bhadra, Upper Krishna , Yethinahole and Varahi",IRRIGATION - JEEVAJALA,"['How to Build an AI Journal with LlamaIndex - Towards Data Science', 'How to Build a Multi-Round Deep Research Agent with Gemini, DuckDuckGo API, and Automated Reporting? - MarkTechPost', 'How Many Google Searches Are There Per Day? Feb 2026 - Exploding Topics']",[]
P56,To provide interest-free loans of up to Rs 3 lakhs to fisherwomen.,Fisheries - Blue Economy,"['Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency']",[]
P68,Action willbe taken to obtain necessary clearances from the Union Government,IRRIGATION - JEEVAJALA,"['Litigation Tracker: Legal Challenges to Trump Administration Actions - Just Security', ""Will Trump Implement His $2000 Stimulus Checks for Americans in 2026? Here's the Latest - Time Magazine"", ""Here's where Trump's promises stand a year into his second term - WCVB"", 'Improving Public Safety Through Better Accountability and Prevention - Center for American Progress', 'Improving Public Safety Through Better Accountability and Prevention - Center for American Progress']",[]
P65,". New Projects : Project Cost - Mekedatu -Rs. 9,000 Cr, Mahadayi -Rs. 3,000 Cr",IRRIGATION - JEEVAJALA,"['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency']",[]
P70,Rs 500 crore will be allocated in the first cabinet meeting,IRRIGATION - JEEVAJALA,['Karnataka replaces 5kg free rice under Anna Bhagya with nutritional food kits to cut costs - The New Indian Express'],[]
P69,100% of the Mahadayi water allocated to Karnataka will be utilised,IRRIGATION - JEEVAJALA,"['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'Ganga Expressway map, route, cities, village list and status - Housing', 'Kedarnath Ropeway Latest Updates - Reach Kedarnath in 36 minutes with Ropeway - eUttaranchal', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'Local Power Plan (accessible webpage) - GOV.UK']",[]
P74,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,IRRIGATION - JEEVAJALA,[],[]
P76,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,Industry and Commerce,[],[]
P73,Congress will ensure responsible and secure rehabilitation of project affected families,IRRIGATION - JEEVAJALA,['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency'],[]
P72,"Priority will be given to drinking water, agriculture, and then to electricity generation",IRRIGATION - JEEVAJALA,"['Who should I vote for? Compare 2024 election manifestos and policies - BBC', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'Promises made on key issues in the 2025 Canada election - Global News', 'SMART Stage 2 - Department of Transportation (.gov)']",[]
P78,To provide start-up fund of Rs. 10 crores to each constituency.,Industry and Commerce,"['Increase funds under MPLADS to ₹10 crore: Stalin - The Hindu', 'CMIDP Karnataka: MLAs Get 25% Fund Discretion in Rs 3,000 Crore Infra Scheme - Deccan Herald', 'Cabinet approves Rs 2,296 crore grant\nto boost Bengaluru infrastructure - The New Indian Express', 'INTERVIEW | ‘Nothing significant in CM Siddaramaiah’s budget’: Senior BJP leader M Chandrappa - The New Indian Express', 'National Startup Day 2026 – January 16 - AffairsCloud.com']",[]
P75,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",IRRIGATION - JEEVAJALA,"[""Cash For Query Row: Delhi High Court Grants Two Months' Time To Lokpal For Deciding Sanction Against... - Live Law"", 'Cash-for-query case: HC grants Lokpal another two months to decide on CBI sanction to prosecute Moitra - The Indian Express', 'Unlicensed residential care providers in Qld given millions in funding, inquiry hears - Australian Broadcasting Corporation']",[]
P71,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,IRRIGATION - JEEVAJALA,"['SteamPRO Raises ₹3.8 Crore Seed Funding to Build India’s Bath-Tech Category - APN News', 'How Long Does It Take? National Environmental Policy Act Timelines and Outcomes for Clean Energy Projects - Resources for the Future', 'Top 43 Project Manager Interview Questions and Answers for 2025 - Shiksha', 'Top 43 Project Manager Interview Questions and Answers for 2025 - Shiksha', 'Shark and Ninja Officially Launch in India, Bringing Category-Leading Innovation to Indian Homes - ANI News']",[]
P82,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,Industry and Commerce,[],[]
P80,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,Industry and Commerce,[],[]
P77,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,Industry and Commerce,"['How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'SMART Stage 2 - Department of Transportation (.gov)', '""Worried About Implementation"": Former NCERT Chief Flags Gaps Amid 3-Language Formula Debate - NDTV']",[]
P85,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy",MSMEs:,[],[]
P79,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",Industry and Commerce,"['Google Search: Introducing AI Mode in India - blog.google', 'Total Debt of India: Internal, External, Long-Term and Economic Impact - ClearTax', 'Implementing Image and Text Semantic Search in Oracle APEX Using ONNX Pipeline Models and Oracle Database 23ai - Oracle Blogs', 'AI in Search: Going beyond information to intelligence - blog.google']",[]
P84,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,Industry and Commerce,"['Union Budget of India 2023 - 24 - IBEF', 'Karnataka Budget 2025: Key takeaways - Deccan Herald', 'PM Surya Ghar: Muft Bijli Yojana - PIB', 'Supporting Schemes For Livestock Farmers, Dairy Producers And Fisherman - PIB']",[]
P86,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.,MSMEs:,['Punjab Budget 2025 | Industry hails push to MSMEs; pans reduced allocation - The Indian Express'],[]
P81,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,Industry and Commerce,"['SMART Stage 2 - Department of Transportation (.gov)', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', '""Worried About Implementation"": Former NCERT Chief Flags Gaps Amid 3-Language Formula Debate - NDTV', 'Discontinuation of Development and Launch of AFEELA 1 and the Second Model of AFEELA Vehicles - AFEELA']",[]
P83,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports.",Industry and Commerce,"['Search-and-rescue in the Central Mediterranean Route does not induce migration: Predictive modeling to answer causal queries in migration research - Nature', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P87,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state.",Tourism,"['Regional Tourism Infrastructure Fund: Round 1 - detsi.qld.gov.au', 'Regional Tourism Infrastructure Fund: Round 1 - detsi.qld.gov.au', 'Regional Tourism Infrastructure Fund: Round 1 - detsi.qld.gov.au', 'Regional Tourism Infrastructure Fund: Round 1 - detsi.qld.gov.au', 'Arts Queensland announces Cultural Tourism Fund (Australia) - fundsforNGOs', 'Arts Queensland announces Cultural Tourism Fund (Australia) - fundsforNGOs']",[]
P88,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.,Tourism,"['Delhi Mumbai Expressway: Route, completion date and status - Housing']",[]
P89,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions. ,Tourism,"['RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire', 'RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements']",[]
P90,To give Industry Status to Hotels with more than 20 employees.,Hotel and Hospitality Industry,['From code to community: The collective effort behind SQL Server 2025 - Microsoft'],[]
P91,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest,Hotel and Hospitality Industry,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)']",[]
P94,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy,Power and Energy,"['SMART Stage 2 - Department of Transportation (.gov)', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'BYD Atto 1 launched at 2026 Bangkok International Motor Show - CarWale', 'RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements']",[]
P93,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.,Power and Energy,"['Implement Tenants in your Amazon SES environment, Part 3: Implementation guide - Amazon Web Services', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'China launches AlSat-3A for Algeria, Ceres-1 sea launch adds to Tianqi constellation - SpaceNews', 'IPL 2026 Points Table: SRH Enters Top-4 After Beating CSK, RCB Stays Second - zoomnews.in']",[]
P98,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.,Transportation,[],[]
