promise_id,promise_text,verdict,confidence
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",Completed,0.6
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,In Progress,0.12
P223,To provide special package for de-silting of Tungabhadra Dam,In Progress,0.2
P224,To grant ®1 crore to every gram panchayat for taking up development projects,Completed,0.5
P225,To establish minimum 100 PUC and one Women's Degree College in 41 assembly constituencies in Kalyana Karnataka.,In Progress,0
P226,To fill up of all vacancies including back log vacancies in Kalayana Karnataka Region within a year of forming the Government by Congress Party.,Completed,0.7
P227,"To establish of one Mother and Child Special Hospital, Trauma and Emergency Treatment centres in each of the 41 Assembly Constituencies.",In Progress,0
P228,To build 2500 new classrooms and fill up all vacancies of teachers.,Completed,0.5
P229,To convert the existing Kalaburagi-siraguppa-Ballary High way into 6-lane,In Progress,0
P230,To give a one-time infrastructure grant of Rs 1 Crore and monthly subsidy of Rs 1 lakh to all Kannada schools in the bordering region of Maharashtra,In Progress,0
P231,To form 'Mahadayi Irrigation Development Corporation exclusively for the region.,In Progress,0.5
P232,"To set up a 500-bed super-speciality hospitals in Karwar, Dharwad, Vijayapura and Bagalkot.",In Progress,0
P233,To set up one 'pulses and dal procurement centre’ in every district.,Completed,0.4
P234,"To ensure the construction of 6 lane all weather roads connecting all the districts to the Karwar port passing through Vijaypura, Bagalkot, Gadag and Dharwad and to develop Karwara as the second Major Port.",In Progress,0
P235,"To establish Brahmashri Narayana Guru Nigama and to with Rs.500 Crs. annualy and Rs. 2,500 Cr for five years",In Progress,0
P236,To construct “Amara Sullia Raithara Horata Bhavana” at sullia to commemorate the 1837 first freedom fight by farmers against the British by allotting land and grant of Rs.50 crores.,In Progress,0
P237,Reserve Rs.100 crores to solve the problems of Yellow Leaf and other deceases affecting Arecanut and to improve marketing and research in this regard.,In Progress,0
